Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.1621509886500131
Latino,Latino,STATEN ISLAND,Staten Island,0.0740491047957425
Black,Black,STATEN ISLAND,Staten Island,0.0810996540815792
Asian,Asian,STATEN ISLAND,Staten Island,0.1461825306444038
White,White,QUEENS,Queens,0.1362165924879805
Latino,Latino,QUEENS,Queens,0.0667640357415343
Black,Black,QUEENS,Queens,0.0659507676433533
Asian,Asian,QUEENS,Queens,0.1334746351297953
White,White,MANHATTAN,Manhattan,0.2025802273228721
Latino,Latino,MANHATTAN,Manhattan,0.1008873955109943
Black,Black,MANHATTAN,Manhattan,0.100796856957421
Asian,Asian,MANHATTAN,Manhattan,0.1324645908277156
White,White,BROOKLYN,Brooklyn,0.1213063760755584
Latino,Latino,BROOKLYN,Brooklyn,0.0612308819965106
Black,Black,BROOKLYN,Brooklyn,0.0659940140152171
Asian,Asian,BROOKLYN,Brooklyn,0.1093268613832814
White,White,THE BRONX,Bronx,0.1815690097754871
Latino,Latino,THE BRONX,Bronx,0.0780456489801247
Black,Black,THE BRONX,Bronx,0.0869509172954208
Asian,Asian,THE BRONX,Bronx,0.1594180156624339
White,White,%all%,%all%,0.1565315969612711
Latino,Latino,%all%,%all%,0.0757279213974438
Black,Black,%all%,%all%,0.0749088744091318
Asian,Asian,%all%,%all%,0.1288963046014795
