Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2995160227148552
Latino,Latino,STATEN ISLAND,Staten Island,0.1845709515106388
Black,Black,STATEN ISLAND,Staten Island,0.1748170363241646
Asian,Asian,STATEN ISLAND,Staten Island,0.4201861832435081
White,White,QUEENS,Queens,0.290996172432328
Latino,Latino,QUEENS,Queens,0.2034617924514437
Black,Black,QUEENS,Queens,0.1684502740380179
Asian,Asian,QUEENS,Queens,0.3920395233186775
White,White,MANHATTAN,Manhattan,0.4292440598030229
Latino,Latino,MANHATTAN,Manhattan,0.2519731788650086
Black,Black,MANHATTAN,Manhattan,0.2411755084284953
Asian,Asian,MANHATTAN,Manhattan,0.4321427581820324
White,White,BROOKLYN,Brooklyn,0.2644794043779242
Latino,Latino,BROOKLYN,Brooklyn,0.1799768027968963
Black,Black,BROOKLYN,Brooklyn,0.168742588341708
Asian,Asian,BROOKLYN,Brooklyn,0.3701282216030365
White,White,THE BRONX,Bronx,0.3023682199374917
Latino,Latino,THE BRONX,Bronx,0.1675917114315952
Black,Black,THE BRONX,Bronx,0.1751322470853144
Asian,Asian,THE BRONX,Bronx,0.3209290645189093
White,White,%all%,%all%,0.3225483747803858
Latino,Latino,%all%,%all%,0.1943319620892973
Black,Black,%all%,%all%,0.1781971993287503
Asian,Asian,%all%,%all%,0.3908064313957861
