Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,377527,0.103636459965834,0.103636459965834
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,5676,0.0015581416607715,0.0015581416607715
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,10842,0.0029762811638626,0.0029762811638626
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,497120,0.1364664169137979,0.1364664169137979
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,819334,0.2249186820800807,0.2249186820800807
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,771444,0.2117722049598647,0.2117722049598647
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1160858,0.3186718132557886,0.3186718132557886
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,73316,0.116647521343588,0.116647521343588
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,895,0.0014239665503098,0.0014239665503098
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1564,0.0024883616588653,0.0024883616588653
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,50615,0.0805296837362337,0.0805296837362337
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,78243,0.1244864969786453,0.1244864969786453
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,82451,0.1311815263012191,0.1311815263012191
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,341442,0.543242443431139,0.543242443431139
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,277317,0.1003978377955681,0.1003978377955681
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,4511,0.0016331297623146,0.0016331297623146
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,8007,0.0028987962772896,0.0028987962772896
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,351519,0.1272613923562576,0.1272613923562576
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,651143,0.2357350948399109,0.2357350948399109
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,620648,0.2246949059457002,0.2246949059457002
18 to 64 years,18 to 64 years,White,White,NYC,NYC,849036,0.3073788430229591,0.3073788430229591
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,51427,0.1097198279540528,0.1097198279540528
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,743,0.0015851951731554,0.0015851951731554
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1168,0.0024919353462254,0.0024919353462254
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,40700,0.0868337059857653,0.0868337059857653
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,66610,0.1421128539486935,0.1421128539486935
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,67978,0.1450314905528342,0.1450314905528342
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,240086,0.5122249910392735,0.5122249910392735
65+ years,65+ years,Other,Other,NYC,NYC,91473,0.1116319427494704,0.1116319427494704
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,1035,0.0012630946918293,0.0012630946918293
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2349,0.0028666757788474,0.0028666757788474
65+ years,65+ years,Black,Black,NYC,NYC,138625,0.169175363917717,0.169175363917717
65+ years,65+ years,Latino,Latino,NYC,NYC,154531,0.1885867495875111,0.1885867495875111
65+ years,65+ years,Asian,Asian,NYC,NYC,135234,0.165037050777627,0.165037050777627
65+ years,65+ years,White,White,NYC,NYC,296169,0.3614391224969979,0.3614391224969979
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,21241,0.139390359943564,0.139390359943564
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,138,0.0009056009449749,0.0009056009449749
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,377,0.0024739967844604,0.0024739967844604
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,9424,0.0618433572858221,0.0618433572858221
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,10403,0.0682678741345933,0.0682678741345933
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,13172,0.0864389539652853,0.0864389539652853
65+ years,65+ years,White,White,Non- NYC,Non- NYC,97630,0.6406798569413,0.6406798569413
