Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3910873031448256
Latino,Latino,STATEN ISLAND,Staten Island,0.3159439165840875
Black,Black,STATEN ISLAND,Staten Island,0.2665213301535598
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6198299965514884
White,White,QUEENS,Queens,0.4050441984500852
Latino,Latino,QUEENS,Queens,0.3698360071627376
Black,Black,QUEENS,Queens,0.2584138383103798
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6031972375437464
White,White,MANHATTAN,Manhattan,0.5510357116085842
Latino,Latino,MANHATTAN,Manhattan,0.3858048056236729
Black,Black,MANHATTAN,Manhattan,0.3320064199765193
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6095422832584402
White,White,BROOKLYN,Brooklyn,0.4042627379989336
Latino,Latino,BROOKLYN,Brooklyn,0.3158913463322218
Black,Black,BROOKLYN,Brooklyn,0.2579477328499452
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6009570260429566
White,White,THE BRONX,Bronx,0.4019667254929369
Latino,Latino,THE BRONX,Bronx,0.2801039718775077
Black,Black,THE BRONX,Bronx,0.2623444022518772
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.475637139967176
White,White,%all%,%all%,0.4478649701841606
Latino,Latino,%all%,%all%,0.3312161112124691
Black,Black,%all%,%all%,0.2677263861817676
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5986849878621724
