Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,156730,0.109786884694701,0.109786884694701
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,2442,0.0017105823545234,0.0017105823545234
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,4154,0.002909811261544,0.002909811261544
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,181768,0.1273256074598763,0.1273256074598763
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,283137,0.1983329877611405,0.1983329877611405
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,293882,0.2058596902178786,0.2058596902178786
18 to 64 years,18 to 64 years,White,White,NYC,NYC,505471,0.3540744362503363,0.3540744362503363
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,36368,0.1105719532513651,0.1105719532513651
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,558,0.0016965230398774,0.0016965230398774
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,818,0.0024870176462719,0.0024870176462719
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,26457,0.0804389069283812,0.0804389069283812
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,38172,0.1160567696741946,0.1160567696741946
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,44646,0.1357400853734175,0.1357400853734175
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,181889,0.5530087440864924,0.5530087440864924
65+ years,65+ years,Other,Other,NYC,NYC,69550,0.1088341058390163,0.1088341058390163
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,809,0.001265949556057,0.001265949556057
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,1812,0.0028354766323551,0.0028354766323551
65+ years,65+ years,Black,Black,NYC,NYC,100987,0.1580277476112831,0.1580277476112831
65+ years,65+ years,Latino,Latino,NYC,NYC,110855,0.173469515496537,0.173469515496537
65+ years,65+ years,Asian,Asian,NYC,NYC,104538,0.1635844680977582,0.1635844680977582
65+ years,65+ years,White,White,NYC,NYC,250495,0.3919827367669933,0.3919827367669933
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,15873,0.1186846217689415,0.1186846217689415
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,130,0.0009720280243157,0.0009720280243157
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,320,0.0023926843675462,0.0023926843675462
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,7551,0.0564598739354424,0.0564598739354424
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,8542,0.0638697183361871,0.0638697183361871
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,11756,0.0879012419527295,0.0879012419527295
65+ years,65+ years,White,White,Non- NYC,Non- NYC,89569,0.6697198316148376,0.6697198316148376
%all%,All,Other,Other,NYC,NYC,226280,0.1094922651853501,0.1094922651853501
%all%,All,NH/PI,NH/PI,NYC,NYC,3251,0.0015730924258334,0.0015730924258334
%all%,All,AI/AN,AI/AN,NYC,NYC,5966,0.0028868254114186,0.0028868254114186
%all%,All,Black,Black,NYC,NYC,282755,0.1368193629241809,0.1368193629241809
%all%,All,Latino,Latino,NYC,NYC,393992,0.1906446727280646,0.1906446727280646
%all%,All,Asian,Asian,NYC,NYC,398420,0.1927872913874279,0.1927872913874279
%all%,All,White,White,NYC,NYC,755966,0.3657964899377247,0.3657964899377247
%all%,All,Other,Other,Non- NYC,Non- NYC,52241,0.1129171358848717,0.1129171358848717
%all%,All,NH/PI,NH/PI,Non- NYC,Non- NYC,688,0.0014870884839263,0.0014870884839263
%all%,All,AI/AN,AI/AN,Non- NYC,Non- NYC,1138,0.0024597481027734,0.0024597481027734
%all%,All,Black,Black,Non- NYC,Non- NYC,34008,0.0735071295950062,0.0735071295950062
%all%,All,Latino,Latino,Non- NYC,Non- NYC,46714,0.1009707142996094,0.1009707142996094
%all%,All,Asian,Asian,Non- NYC,Non- NYC,56402,0.121910995160478,0.121910995160478
%all%,All,White,White,Non- NYC,Non- NYC,271458,0.5867471884733352,0.5867471884733352
