Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,76,76
2020-12-15,12/15,2110,2110
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11106,11106
2020-12-18,12/18,16865,16865
2020-12-19,12/19,18550,18550
2020-12-20,12/20,19649,19649
2020-12-21,12/21,25914,25914
2020-12-22,12/22,35628,35628
2020-12-23,12/23,49843,49843
2020-12-24,12/24,57077,57077
2020-12-25,12/25,57256,57256
2020-12-26,12/26,61604,61604
2020-12-27,12/27,65436,65436
2020-12-28,12/28,76381,76381
2020-12-29,12/29,87055,87055
2020-12-30,12/30,99853,99853
2020-12-31,12/31,107079,107079
2021-01-01,1/1,107241,107241
2021-01-02,1/2,111042,111042
2021-01-03,1/3,114580,114580
2021-01-04,1/4,127528,127528
2021-01-05,1/5,143490,143490
2021-01-06,1/6,164891,164891
2021-01-07,1/7,186301,186301
2021-01-08,1/8,208088,208088
2021-01-09,1/9,217173,217173
2021-01-10,1/10,225941,225941
2021-01-11,1/11,258827,258827
2021-01-12,1/12,294449,294449
2021-01-13,1/13,335184,335184
2021-01-14,1/14,375900,375900
2021-01-15,1/15,408197,408197
2021-01-16,1/16,440486,440486
2021-01-17,1/17,465720,465720
2021-01-18,1/18,494780,494780
2021-01-19,1/19,537039,537039
2021-01-20,1/20,581811,581811
2021-01-21,1/21,614867,614867
2021-01-22,1/22,643339,643339
2021-01-23,1/23,661825,661825
2021-01-24,1/24,672164,672164
2021-01-25,1/25,696182,696182
2021-01-26,1/26,723040,723040
2021-01-27,1/27,755482,755482
2021-01-28,1/28,797304,797304
2021-01-29,1/29,839859,839859
2021-01-30,1/30,861772,861772
2021-01-31,1/31,877354,877354
2021-02-01,2/1,883652,883652
2021-02-02,2/2,895465,895465
2021-02-03,2/3,931738,931738
2021-02-04,2/4,977150,977150
2021-02-05,2/5,1023428,1023428
2021-02-06,2/6,1056817,1056817
2021-02-07,2/7,1076747,1076747
2021-02-08,2/8,1116273,1116273
2021-02-09,2/9,1160729,1160729
2021-02-10,2/10,1208531,1208531
2021-02-11,2/11,1268394,1268394
2021-02-12,2/12,1335308,1335308
2021-02-13,2/13,1387116,1387116
2021-02-14,2/14,1426286,1426286
2021-02-15,2/15,1448785,1448785
2021-02-16,2/16,1488678,1488678
2021-02-17,2/17,1525997,1525997
2021-02-18,2/18,1561656,1561656
2021-02-19,2/19,1597654,1597654
2021-02-20,2/20,1633587,1633587
2021-02-21,2/21,1656905,1656905
2021-02-22,2/22,1680865,1680865
2021-02-23,2/23,1719319,1719319
2021-02-24,2/24,1773859,1773859
2021-02-25,2/25,1856684,1856684
2021-02-26,2/26,1948780,1948780
2021-02-27,2/27,2021251,2021251
2021-02-28,2/28,2078587,2078587
2021-03-01,3/1,2129124,2129124
2021-03-02,3/2,2187299,2187299
2021-03-03,3/3,2250515,2250515
2021-03-04,3/4,2331875,2331875
2021-03-05,3/5,2417200,2417200
2021-03-06,3/6,2486827,2486827
2021-03-07,3/7,2542776,2542776
2021-03-08,3/8,2604320,2604320
2021-03-09,3/9,2662186,2662186
2021-03-10,3/10,2732059,2732059
2021-03-11,3/11,2814823,2814823
2021-03-12,3/12,2897444,2897444
2021-03-13,3/13,2966722,2966722
2021-03-14,3/14,3015796,3015796
2021-03-15,3/15,3069448,3069448
2021-03-16,3/16,3131193,3131193
2021-03-17,3/17,3200896,3200896
2021-03-18,3/18,3281483,3281483
2021-03-19,3/19,3360539,3360539
2021-03-20,3/20,3426089,3426089
2021-03-21,3/21,3473924,3473924
2021-03-22,3/22,3534741,3534741
2021-03-23,3/23,3605211,3605211
2021-03-24,3/24,3685126,3685126
2021-03-25,3/25,3778802,3778802
2021-03-26,3/26,3870161,3870161
2021-03-27,3/27,3948052,3948052
2021-03-28,3/28,3995012,3995012
2021-03-29,3/29,4053394,4053394
2021-03-30,3/30,4123023,4123023
2021-03-31,3/31,4200774,4200774
2021-04-01,4/1,4292403,4292403
2021-04-02,4/2,4366648,4366648
2021-04-03,4/3,4407893,4407893
