Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6630,6630
2020-12-17,12/17,11125,11125
2020-12-18,12/18,16910,16910
2020-12-19,12/19,18595,18595
2020-12-20,12/20,19699,19699
2020-12-21,12/21,25969,25969
2020-12-22,12/22,35722,35722
2020-12-23,12/23,49975,49975
2020-12-24,12/24,57212,57212
2020-12-25,12/25,57391,57391
2020-12-26,12/26,61739,61739
2020-12-27,12/27,65578,65578
2020-12-28,12/28,76533,76533
2020-12-29,12/29,87244,87244
2020-12-30,12/30,100054,100054
2020-12-31,12/31,107288,107288
2021-01-01,1/1,107454,107454
2021-01-02,1/2,111266,111266
2021-01-03,1/3,114807,114807
2021-01-04,1/4,127777,127777
2021-01-05,1/5,143799,143799
2021-01-06,1/6,165304,165304
2021-01-07,1/7,186762,186762
2021-01-08,1/8,208567,208567
2021-01-09,1/9,217656,217656
2021-01-10,1/10,226442,226442
2021-01-11,1/11,259350,259350
2021-01-12,1/12,294976,294976
2021-01-13,1/13,335789,335789
2021-01-14,1/14,376508,376508
2021-01-15,1/15,408892,408892
2021-01-16,1/16,441191,441191
2021-01-17,1/17,466470,466470
2021-01-18,1/18,495553,495553
2021-01-19,1/19,538783,538783
2021-01-20,1/20,582623,582623
2021-01-21,1/21,615685,615685
2021-01-22,1/22,644184,644184
2021-01-23,1/23,662680,662680
2021-01-24,1/24,673019,673019
2021-01-25,1/25,697041,697041
2021-01-26,1/26,723902,723902
2021-01-27,1/27,756390,756390
2021-01-28,1/28,798225,798225
2021-01-29,1/29,840824,840824
2021-01-30,1/30,862765,862765
2021-01-31,1/31,878375,878375
2021-02-01,2/1,884712,884712
2021-02-02,2/2,896708,896708
2021-02-03,2/3,933306,933306
2021-02-04,2/4,979153,979153
2021-02-05,2/5,1025752,1025752
2021-02-06,2/6,1059523,1059523
2021-02-07,2/7,1079545,1079545
2021-02-08,2/8,1119194,1119194
2021-02-09,2/9,1163811,1163811
2021-02-10,2/10,1211693,1211693
2021-02-11,2/11,1272074,1272074
2021-02-12,2/12,1340083,1340083
2021-02-13,2/13,1392698,1392698
2021-02-14,2/14,1432297,1432297
2021-02-15,2/15,1454979,1454979
2021-02-16,2/16,1495142,1495142
2021-02-17,2/17,1532689,1532689
2021-02-18,2/18,1568832,1568832
2021-02-19,2/19,1605350,1605350
2021-02-20,2/20,1642303,1642303
2021-02-21,2/21,1665906,1665906
2021-02-22,2/22,1690145,1690145
2021-02-23,2/23,1728771,1728771
2021-02-24,2/24,1784420,1784420
2021-02-25,2/25,1868011,1868011
2021-02-26,2/26,1961376,1961376
2021-02-27,2/27,2034632,2034632
2021-02-28,2/28,2092557,2092557
2021-03-01,3/1,2143511,2143511
2021-03-02,3/2,2201939,2201939
2021-03-03,3/3,2265460,2265460
2021-03-04,3/4,2347817,2347817
2021-03-05,3/5,2434731,2434731
2021-03-06,3/6,2505330,2505330
2021-03-07,3/7,2562020,2562020
2021-03-08,3/8,2624187,2624187
2021-03-09,3/9,2682627,2682627
2021-03-10,3/10,2753156,2753156
2021-03-11,3/11,2837779,2837779
2021-03-12,3/12,2922451,2922451
2021-03-13,3/13,2994008,2994008
2021-03-14,3/14,3044584,3044584
2021-03-15,3/15,3098687,3098687
2021-03-16,3/16,3160998,3160998
2021-03-17,3/17,3230975,3230975
2021-03-18,3/18,3311880,3311880
2021-03-19,3/19,3393121,3393121
2021-03-20,3/20,3460672,3460672
2021-03-21,3/21,3509067,3509067
2021-03-22,3/22,3571984,3571984
2021-03-23,3/23,3645553,3645553
2021-03-24,3/24,3727514,3727514
2021-03-25,3/25,3824170,3824170
2021-03-26,3/26,3919684,3919684
2021-03-27,3/27,4001632,4001632
2021-03-28,3/28,4062042,4062042
2021-03-29,3/29,4136712,4136712
2021-03-30,3/30,4221001,4221001
2021-03-31,3/31,4320644,4320644
2021-04-01,4/1,4434415,4434415
2021-04-02,4/2,4541667,4541667
2021-04-03,4/3,4627987,4627987
2021-04-04,4/4,4680168,4680168
2021-04-05,4/5,4764382,4764382
2021-04-06,4/6,4861615,4861615
2021-04-07,4/7,4966212,4966212
2021-04-08,4/8,5082142,5082142
2021-04-09,4/9,5195598,5195598
2021-04-10,4/10,5289167,5289167
2021-04-11,4/11,5354972,5354972
2021-04-12,4/12,5437226,5437226
2021-04-13,4/13,5517165,5517165
2021-04-14,4/14,5600959,5600959
2021-04-15,4/15,5690417,5690417
2021-04-16,4/16,5777347,5777347
2021-04-17,4/17,5848209,5848209
2021-04-18,4/18,5887629,5887629
2021-04-19,4/19,5949035,5949035
2021-04-20,4/20,6015729,6015729
2021-04-21,4/21,6086205,6086205
2021-04-22,4/22,6159746,6159746
2021-04-23,4/23,6229920,6229920
2021-04-24,4/24,6291453,6291453
2021-04-25,4/25,6329826,6329826
2021-04-26,4/26,6381654,6381654
2021-04-27,4/27,6442886,6442886
2021-04-28,4/28,6509892,6509892
2021-04-29,4/29,6579469,6579469
2021-04-30,4/30,6647790,6647790
2021-05-01,5/1,6705950,6705950
2021-05-02,5/2,6745967,6745967
2021-05-03,5/3,6807855,6807855
2021-05-04,5/4,6876269,6876269
2021-05-05,5/5,6935640,6935640
2021-05-06,5/6,6997497,6997497
2021-05-07,5/7,7061611,7061611
2021-05-08,5/8,7109123,7109123
2021-05-09,5/9,7130052,7130052
2021-05-10,5/10,7152660,7152660
