Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-10,5/10,22608,22608
2021-05-09,5/9,20929,20929
2021-05-08,5/8,47512,47512
2021-05-07,5/7,64114,64114
2021-05-06,5/6,61857,61857
2021-05-05,5/5,59371,59371
2021-05-04,5/4,68414,68414
2021-05-03,5/3,61888,61888
2021-05-02,5/2,40017,40017
2021-05-01,5/1,58160,58160
2021-04-30,4/30,68321,68321
2021-04-29,4/29,69577,69577
2021-04-28,4/28,67006,67006
2021-04-27,4/27,61232,61232
2021-04-26,4/26,51828,51828
2021-04-25,4/25,38373,38373
2021-04-24,4/24,61533,61533
2021-04-23,4/23,70174,70174
2021-04-22,4/22,73541,73541
2021-04-21,4/21,70476,70476
2021-04-20,4/20,66694,66694
2021-04-19,4/19,61406,61406
2021-04-18,4/18,39420,39420
2021-04-17,4/17,70862,70862
2021-04-16,4/16,86930,86930
2021-04-15,4/15,89458,89458
2021-04-14,4/14,83794,83794
2021-04-13,4/13,79939,79939
2021-04-12,4/12,82254,82254
2021-04-11,4/11,65805,65805
2021-04-10,4/10,93569,93569
2021-04-09,4/9,113456,113456
2021-04-08,4/8,115930,115930
2021-04-07,4/7,104597,104597
2021-04-06,4/6,97233,97233
2021-04-05,4/5,84214,84214
2021-04-04,4/4,52181,52181
2021-04-03,4/3,86320,86320
2021-04-02,4/2,107252,107252
2021-04-01,4/1,113771,113771
2021-03-31,3/31,99643,99643
2021-03-30,3/30,84289,84289
2021-03-29,3/29,74670,74670
2021-03-28,3/28,60410,60410
2021-03-27,3/27,81948,81948
2021-03-26,3/26,95514,95514
2021-03-25,3/25,96656,96656
2021-03-24,3/24,81961,81961
2021-03-23,3/23,73569,73569
2021-03-22,3/22,62917,62917
2021-03-21,3/21,48395,48395
2021-03-20,3/20,67551,67551
2021-03-19,3/19,81241,81241
2021-03-18,3/18,80905,80905
2021-03-17,3/17,69977,69977
2021-03-16,3/16,62311,62311
2021-03-15,3/15,54103,54103
2021-03-14,3/14,50576,50576
2021-03-13,3/13,71557,71557
2021-03-12,3/12,84672,84672
2021-03-11,3/11,84623,84623
2021-03-10,3/10,70529,70529
2021-03-09,3/9,58440,58440
2021-03-08,3/8,62167,62167
2021-03-07,3/7,56690,56690
2021-03-06,3/6,70599,70599
2021-03-05,3/5,86914,86914
2021-03-04,3/4,82357,82357
2021-03-03,3/3,63521,63521
2021-03-02,3/2,58428,58428
2021-03-01,3/1,50954,50954
2021-02-28,2/28,57925,57925
2021-02-27,2/27,73256,73256
2021-02-26,2/26,93365,93365
2021-02-25,2/25,83591,83591
2021-02-24,2/24,55649,55649
2021-02-23,2/23,38626,38626
2021-02-22,2/22,24239,24239
2021-02-21,2/21,23603,23603
2021-02-20,2/20,36953,36953
2021-02-19,2/19,36518,36518
2021-02-18,2/18,36143,36143
2021-02-17,2/17,37547,37547
2021-02-16,2/16,40163,40163
2021-02-15,2/15,22682,22682
2021-02-14,2/14,39599,39599
2021-02-13,2/13,52615,52615
2021-02-12,2/12,68009,68009
2021-02-11,2/11,60381,60381
2021-02-10,2/10,47882,47882
2021-02-09,2/9,44617,44617
2021-02-08,2/8,39649,39649
2021-02-07,2/7,20022,20022
2021-02-06,2/6,33771,33771
2021-02-05,2/5,46599,46599
2021-02-04,2/4,45847,45847
2021-02-03,2/3,36598,36598
2021-02-02,2/2,11996,11996
2021-02-01,2/1,6337,6337
2021-01-31,1/31,15610,15610
2021-01-30,1/30,21941,21941
2021-01-29,1/29,42599,42599
2021-01-28,1/28,41835,41835
2021-01-27,1/27,32488,32488
2021-01-26,1/26,26861,26861
2021-01-25,1/25,24022,24022
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18496,18496
2021-01-22,1/22,28499,28499
2021-01-21,1/21,33062,33062
2021-01-20,1/20,43840,43840
2021-01-19,1/19,43230,43230
2021-01-18,1/18,29083,29083
2021-01-17,1/17,25279,25279
2021-01-16,1/16,32299,32299
2021-01-15,1/15,32384,32384
2021-01-14,1/14,40719,40719
2021-01-13,1/13,40813,40813
2021-01-12,1/12,35626,35626
2021-01-11,1/11,32908,32908
2021-01-10,1/10,8786,8786
2021-01-09,1/9,9089,9089
2021-01-08,1/8,21805,21805
2021-01-07,1/7,21458,21458
2021-01-06,1/6,21505,21505
2021-01-05,1/5,16022,16022
2021-01-04,1/4,12970,12970
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3812,3812
2021-01-01,1/1,166,166
2020-12-31,12/31,7234,7234
2020-12-30,12/30,12810,12810
2020-12-29,12/29,10711,10711
2020-12-28,12/28,10955,10955
2020-12-27,12/27,3839,3839
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7237,7237
2020-12-23,12/23,14253,14253
2020-12-22,12/22,9753,9753
2020-12-21,12/21,6270,6270
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5785,5785
2020-12-17,12/17,4495,4495
2020-12-16,12/16,4514,4514
2020-12-15,12/15,2039,2039
2020-12-14,12/14,77,77
