Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3994770288910237
Latino,Latino,STATEN ISLAND,Staten Island,0.3316649137027677
Black,Black,STATEN ISLAND,Staten Island,0.2790256821044641
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6413759333657142
White,White,QUEENS,Queens,0.4180519858353483
Latino,Latino,QUEENS,Queens,0.3979265261970158
Black,Black,QUEENS,Queens,0.2697642090114681
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6318434347645374
White,White,MANHATTAN,Manhattan,0.5620042394812228
Latino,Latino,MANHATTAN,Manhattan,0.4072926682153711
Black,Black,MANHATTAN,Manhattan,0.3466497122564891
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.631858560121809
White,White,BROOKLYN,Brooklyn,0.4158576359381691
Latino,Latino,BROOKLYN,Brooklyn,0.3389217748045341
Black,Black,BROOKLYN,Brooklyn,0.2702557661382003
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6341930281216522
White,White,THE BRONX,Bronx,0.4151727575066826
Latino,Latino,THE BRONX,Bronx,0.3012429974164222
Black,Black,THE BRONX,Bronx,0.2765040431432322
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5011881656829724
White,White,%all%,%all%,0.4593150730846576
Latino,Latino,%all%,%all%,0.3544432074204813
Black,Black,%all%,%all%,0.280493747608337
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6269306768702598
