Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.343525373605777
Latino,Latino,STATEN ISLAND,Staten Island,0.2313392851515169
Black,Black,STATEN ISLAND,Staten Island,0.2106090135730878
Asian,Asian,STATEN ISLAND,Staten Island,0.4655667638453864
White,White,QUEENS,Queens,0.3187936275930089
Latino,Latino,QUEENS,Queens,0.2402737048684835
Black,Black,QUEENS,Queens,0.1909349615750378
Asian,Asian,QUEENS,Queens,0.4304381665989582
White,White,MANHATTAN,Manhattan,0.4445702549523851
Latino,Latino,MANHATTAN,Manhattan,0.2790631505415355
Black,Black,MANHATTAN,Manhattan,0.2607176528179418
Asian,Asian,MANHATTAN,Manhattan,0.4230131517447402
White,White,BROOKLYN,Brooklyn,0.3126372717463107
Latino,Latino,BROOKLYN,Brooklyn,0.2126045382887475
Black,Black,BROOKLYN,Brooklyn,0.1943402402046491
Asian,Asian,BROOKLYN,Brooklyn,0.4075680903905272
White,White,THE BRONX,Bronx,0.3310794945780837
Latino,Latino,THE BRONX,Bronx,0.2021584837154681
Black,Black,THE BRONX,Bronx,0.2065163125637576
Asian,Asian,THE BRONX,Bronx,0.3679080959384669
White,White,%all%,%all%,0.3584342547352429
Latino,Latino,%all%,%all%,0.2291892572275226
Black,Black,%all%,%all%,0.2042309781145073
Asian,Asian,%all%,%all%,0.4219856844873862
