Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.514288599414319
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6697304191037424
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6897918943826487
STATEN ISLAND,Staten Island,55to64,55 to 64,0.525071828217148
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3810228760206944
STATEN ISLAND,Staten Island,35to44,35 to 44,0.3027850069287187
STATEN ISLAND,Staten Island,25to34,25 to 34,0.2216196171139851
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1445853905729148
STATEN ISLAND,Staten Island,%all%,%all%,0.4010981025661956
QUEENS,Queens,85andUp,85+,0.4389717009521548
QUEENS,Queens,75to84,75 to 84,0.554244117287328
QUEENS,Queens,65to74,65 to 74,0.6154112119051665
QUEENS,Queens,55to64,55 to 64,0.4902487834179432
QUEENS,Queens,45to54,45 to 54,0.3839164837479166
QUEENS,Queens,35to44,35 to 44,0.3268243161226205
QUEENS,Queens,25to34,25 to 34,0.2516040527405698
QUEENS,Queens,18to24,18 to 24,0.1478485873910322
QUEENS,Queens,%all%,%all%,0.3812305076906331
MANHATTAN,Manhattan,85andUp,85+,0.553186570690788
MANHATTAN,Manhattan,75to84,75 to 84,0.6858397815081878
MANHATTAN,Manhattan,65to74,65 to 74,0.7073890868272465
MANHATTAN,Manhattan,55to64,55 to 64,0.5866898800945938
MANHATTAN,Manhattan,45to54,45 to 54,0.4708614549647024
MANHATTAN,Manhattan,35to44,35 to 44,0.4075418274853401
MANHATTAN,Manhattan,25to34,25 to 34,0.3496937818173479
MANHATTAN,Manhattan,18to24,18 to 24,0.2363401934771862
MANHATTAN,Manhattan,%all%,%all%,0.4605221163980844
BROOKLYN,Brooklyn,85andUp,85+,0.3610239309533151
BROOKLYN,Brooklyn,75to84,75 to 84,0.4886415840841546
BROOKLYN,Brooklyn,65to74,65 to 74,0.5376017275248166
BROOKLYN,Brooklyn,55to64,55 to 64,0.4136455107004743
BROOKLYN,Brooklyn,45to54,45 to 54,0.3373983464582924
BROOKLYN,Brooklyn,35to44,35 to 44,0.3022213159173823
BROOKLYN,Brooklyn,25to34,25 to 34,0.2542416512602092
BROOKLYN,Brooklyn,18to24,18 to 24,0.1188917070681025
BROOKLYN,Brooklyn,%all%,%all%,0.3293988791007454
THE BRONX,Bronx,85andUp,85+,0.398583968581639
THE BRONX,Bronx,75to84,75 to 84,0.5462368224074016
THE BRONX,Bronx,65to74,65 to 74,0.624645241925665
THE BRONX,Bronx,55to64,55 to 64,0.5016644146910219
THE BRONX,Bronx,45to54,45 to 54,0.3525606988918791
THE BRONX,Bronx,35to44,35 to 44,0.2501590106765378
THE BRONX,Bronx,25to34,25 to 34,0.1516680367229194
THE BRONX,Bronx,18to24,18 to 24,0.0888575450546807
THE BRONX,Bronx,%all%,%all%,0.3199301896064206
%all%,%all%,85andUp,85+,0.4403480535157429
%all%,%all%,75to84,75 to 84,0.5710596145543544
%all%,%all%,65to74,65 to 74,0.6177477584012132
%all%,%all%,55to64,55 to 64,0.4900661068869554
%all%,%all%,45to54,45 to 54,0.3814025466716338
%all%,%all%,35to44,35 to 44,0.3222104553938497
%all%,%all%,25to34,25 to 34,0.2596180222538399
%all%,%all%,18to24,18 to 24,0.1456155078788178
%all%,%all%,%all%,%all%,0.3734744422194823
