Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.3807043059638591
STATEN ISLAND,Staten Island,F,Female,0.4165559710443996
QUEENS,Queens,M,Male,0.3575341012704123
QUEENS,Queens,F,Female,0.3919619584629064
MANHATTAN,Manhattan,M,Male,0.4411043585233244
MANHATTAN,Manhattan,F,Female,0.4685329629007016
BROOKLYN,Brooklyn,M,Male,0.3103669842889878
BROOKLYN,Brooklyn,F,Female,0.336663627006343
THE BRONX,Bronx,M,Male,0.3058097840748134
THE BRONX,Bronx,F,Female,0.3296842080641207
%all%,%all%,M,Male,0.3542343216799802
%all%,%all%,F,Female,0.3822572351387606
