Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5849,5215,0.5906291022922346
STATEN ISLAND,Staten Island,75to84,75 to 84,16922,15313,0.7441840010554553
STATEN ISLAND,Staten Island,65to74,65 to 74,36338,32727,0.7787993741829016
STATEN ISLAND,Staten Island,55to64,55 to 64,43912,37385,0.6640254045062756
STATEN ISLAND,Staten Island,45to54,45 to 54,34535,28031,0.5381630617714892
STATEN ISLAND,Staten Island,35to44,35 to 44,27287,21401,0.461131578057931
STATEN ISLAND,Staten Island,25to34,25 to 34,23521,17854,0.3634326859191273
STATEN ISLAND,Staten Island,18to24,18 to 24,13675,9083,0.3447010488292555
STATEN ISLAND,Staten Island,<18,<18,2579,1470,0.0250449279191448
STATEN ISLAND,Staten Island,%all%,%all%,204618,168479,0.4297406451423204
QUEENS,Queens,85andUp,85+,28164,24542,0.5455475679823708
QUEENS,Queens,75to84,75 to 84,73612,64990,0.6707496459039686
QUEENS,Queens,65to74,65 to 74,157796,138189,0.7559977858950242
QUEENS,Queens,55to64,55 to 64,214267,172397,0.7100023391615518
QUEENS,Queens,45to54,45 to 54,194570,146092,0.6454560636207736
QUEENS,Queens,35to44,35 to 44,183999,133344,0.596220019058368
QUEENS,Queens,25to34,25 to 34,179607,125930,0.495470134646575
QUEENS,Queens,18to24,18 to 24,76752,44437,0.4392704981781638
QUEENS,Queens,<18,<18,14434,5964,0.0321347551608768
QUEENS,Queens,%all%,%all%,1123201,855885,0.4951664368437884
MANHATTAN,Manhattan,85andUp,85+,24877,22560,0.6246481012697896
MANHATTAN,Manhattan,75to84,75 to 84,64590,59722,0.7542205790106898
MANHATTAN,Manhattan,65to74,65 to 74,116819,107442,0.7903486685164276
MANHATTAN,Manhattan,55to64,55 to 64,135581,116648,0.7455898677718268
MANHATTAN,Manhattan,45to54,45 to 54,130193,107561,0.673991153935677
MANHATTAN,Manhattan,35to44,35 to 44,146737,118352,0.632632290323675
MANHATTAN,Manhattan,25to34,25 to 34,218188,168893,0.6068575565280884
MANHATTAN,Manhattan,18to24,18 to 24,79726,54235,0.5537013889263048
MANHATTAN,Manhattan,<18,<18,9955,5918,0.0437261689640324
MANHATTAN,Manhattan,%all%,%all%,926666,761331,0.575061684994153
BROOKLYN,Brooklyn,85andUp,85+,22651,18994,0.4443114947038055
BROOKLYN,Brooklyn,75to84,75 to 84,62856,54057,0.589306306897554
BROOKLYN,Brooklyn,65to74,65 to 74,137444,117947,0.6537387689483122
BROOKLYN,Brooklyn,55to64,55 to 64,166930,132565,0.5842126445832678
BROOKLYN,Brooklyn,45to54,45 to 54,158291,120060,0.5359147633783172
BROOKLYN,Brooklyn,35to44,35 to 44,180792,137079,0.5050253361863314
BROOKLYN,Brooklyn,25to34,25 to 34,217130,160578,0.4619384266478882
BROOKLYN,Brooklyn,18to24,18 to 24,68630,40278,0.3302253371679904
BROOKLYN,Brooklyn,<18,<18,10531,4756,0.0183127692826464
BROOKLYN,Brooklyn,%all%,%all%,1025255,786314,0.4005054097752923
THE BRONX,Bronx,85andUp,85+,13133,11411,0.4936442153322016
THE BRONX,Bronx,75to84,75 to 84,37468,33220,0.6472203295794232
THE BRONX,Bronx,65to74,65 to 74,79258,69435,0.7522546090368826
THE BRONX,Bronx,55to64,55 to 64,112528,92287,0.6885311662237316
THE BRONX,Bronx,45to54,45 to 54,95422,73423,0.5486040638856692
THE BRONX,Bronx,35to44,35 to 44,77211,56254,0.4308889343984776
THE BRONX,Bronx,25to34,25 to 34,63543,44585,0.2800442278573973
THE BRONX,Bronx,18to24,18 to 24,33454,19562,0.2416191426692098
THE BRONX,Bronx,<18,<18,5627,2267,0.0161118454083617
THE BRONX,Bronx,%all%,%all%,517644,402444,0.3642762131166718
%all%,%all%,85andUp,85+,94674,82722,0.5290882875632902
%all%,%all%,75to84,75 to 84,255448,227302,0.6675332284751784
%all%,%all%,65to74,65 to 74,527655,465740,0.7340827356895916
%all%,%all%,55to64,55 to 64,673218,551282,0.6739428816625894
%all%,%all%,45to54,45 to 54,613011,475167,0.5962637403254782
%all%,%all%,35to44,35 to 44,616026,466430,0.5418442685674982
%all%,%all%,25to34,25 to 34,701989,517840,0.4731343756381854
%all%,%all%,18to24,18 to 24,272237,167595,0.3863321575504159
%all%,%all%,<18,<18,43126,20375,0.025306870962979
%all%,%all%,%all%,%all%,3797384,2974453,0.4554956645923738
