Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2993400603989604
Latino,Latino,STATEN ISLAND,Staten Island,0.1891973877731773
Black,Black,STATEN ISLAND,Staten Island,0.1735425417186216
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.374357602042868
White,White,QUEENS,Queens,0.2830274590515997
Latino,Latino,QUEENS,Queens,0.2047561929607029
Black,Black,QUEENS,Queens,0.1671902644565522
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3634414176253908
White,White,MANHATTAN,Manhattan,0.3821447438313758
Latino,Latino,MANHATTAN,Manhattan,0.2422207480798237
Black,Black,MANHATTAN,Manhattan,0.2165782439952854
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3345565284665181
White,White,BROOKLYN,Brooklyn,0.2603615277031719
Latino,Latino,BROOKLYN,Brooklyn,0.1809581112784821
Black,Black,BROOKLYN,Brooklyn,0.1631219606629796
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3310877356661568
White,White,THE BRONX,Bronx,0.3026150162924785
Latino,Latino,THE BRONX,Bronx,0.1800518028153923
Black,Black,THE BRONX,Bronx,0.1789034360281887
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3191916104991256
White,White,%all%,%all%,0.3085783644436498
Latino,Latino,%all%,%all%,0.1983036776382678
Black,Black,%all%,%all%,0.173878811591922
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3486216107979827
