Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4389169439531817
Latino,Latino,STATEN ISLAND,Staten Island,0.3891428041887176
Black,Black,STATEN ISLAND,Staten Island,0.3284476445770858
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.727022862264845
White,White,QUEENS,Queens,0.4621122453329628
Latino,Latino,QUEENS,Queens,0.4730041430024314
Black,Black,QUEENS,Queens,0.3109928949091826
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.7250736017421
White,White,MANHATTAN,Manhattan,0.6133452856541404
Latino,Latino,MANHATTAN,Manhattan,0.4599173051582526
Black,Black,MANHATTAN,Manhattan,0.3953569183030281
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.7184417411273126
White,White,BROOKLYN,Brooklyn,0.4593213672178406
Latino,Latino,BROOKLYN,Brooklyn,0.397830516494799
Black,Black,BROOKLYN,Brooklyn,0.3124920674168163
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.7452733059759497
White,White,THE BRONX,Bronx,0.4623597115586108
Latino,Latino,THE BRONX,Bronx,0.3531127200566399
Black,Black,THE BRONX,Bronx,0.3181882599142633
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5782990683764636
White,White,%all%,%all%,0.5050786575268948
Latino,Latino,%all%,%all%,0.4141633689377962
Black,Black,%all%,%all%,0.3232904607152329
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.722425947459111
