Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5435,4624,0.5488235888114714
STATEN ISLAND,Staten Island,75to84,75 to 84,16109,13787,0.708430449887858
STATEN ISLAND,Staten Island,65to74,65 to 74,34450,29094,0.738335583703037
STATEN ISLAND,Staten Island,55to64,55 to 64,39817,28656,0.6021019204597006
STATEN ISLAND,Staten Island,45to54,45 to 54,30176,19388,0.4702362401047186
STATEN ISLAND,Staten Island,35to44,35 to 44,23148,14379,0.3911853178760943
STATEN ISLAND,Staten Island,25to34,25 to 34,19581,11570,0.3025541185741436
STATEN ISLAND,Staten Island,18to24,18 to 24,10181,4587,0.2566289856037039
STATEN ISLAND,Staten Island,<18,<18,1592,131,0.0154600718291115
STATEN ISLAND,Staten Island,%all%,%all%,180489,126216,0.3790646927498669
QUEENS,Queens,85andUp,85+,25065,20726,0.4855187399331816
QUEENS,Queens,75to84,75 to 84,66727,55277,0.6080137969656322
QUEENS,Queens,65to74,65 to 74,142256,115919,0.6815459265778762
QUEENS,Queens,55to64,55 to 64,179066,122563,0.59335912139668
QUEENS,Queens,45to54,45 to 54,152366,92763,0.50545078167057
QUEENS,Queens,35to44,35 to 44,139408,80996,0.4517298486235738
QUEENS,Queens,25to34,25 to 34,132632,73917,0.3658832612228061
QUEENS,Queens,18to24,18 to 24,47688,22150,0.2729301062789279
QUEENS,Queens,<18,<18,6042,728,0.0134514473245128
QUEENS,Queens,%all%,%all%,891250,585039,0.3929101619719234
MANHATTAN,Manhattan,85andUp,85+,23478,20622,0.5895199630828524
MANHATTAN,Manhattan,75to84,75 to 84,61797,55310,0.7216065818412076
MANHATTAN,Manhattan,65to74,65 to 74,110778,97631,0.7494777801634392
MANHATTAN,Manhattan,55to64,55 to 64,121817,88561,0.6698985914129608
MANHATTAN,Manhattan,45to54,45 to 54,112476,70179,0.58227269538354
MANHATTAN,Manhattan,35to44,35 to 44,123539,71718,0.5326179526247402
MANHATTAN,Manhattan,25to34,25 to 34,180242,96348,0.501316386344509
MANHATTAN,Manhattan,18to24,18 to 24,60606,27299,0.4209119531554026
MANHATTAN,Manhattan,<18,<18,5955,1078,0.0261566384912921
MANHATTAN,Manhattan,%all%,%all%,800688,528746,0.4968834406729052
BROOKLYN,Brooklyn,85andUp,85+,20281,16314,0.3978226755590428
BROOKLYN,Brooklyn,75to84,75 to 84,57281,46294,0.5370379051387106
BROOKLYN,Brooklyn,65to74,65 to 74,124709,99837,0.5931660031487376
BROOKLYN,Brooklyn,55to64,55 to 64,141828,95540,0.496362013754003
BROOKLYN,Brooklyn,45to54,45 to 54,128933,77425,0.4365194369020131
BROOKLYN,Brooklyn,35to44,35 to 44,145884,81961,0.4075131429720716
BROOKLYN,Brooklyn,25to34,25 to 34,171519,90415,0.3649022106582192
BROOKLYN,Brooklyn,18to24,18 to 24,45058,20381,0.2168045059320314
BROOKLYN,Brooklyn,<18,<18,4594,691,0.0079886869323405
BROOKLYN,Brooklyn,%all%,%all%,840087,528858,0.3281714189951729
THE BRONX,Bronx,85andUp,85+,11723,9844,0.4406450267524098
THE BRONX,Bronx,75to84,75 to 84,34481,28847,0.5956230432429832
THE BRONX,Bronx,65to74,65 to 74,72377,59299,0.686945568122618
THE BRONX,Bronx,55to64,55 to 64,97221,69824,0.594871396554079
THE BRONX,Bronx,45to54,45 to 54,77964,52068,0.4482338164865787
THE BRONX,Bronx,35to44,35 to 44,60203,38535,0.335972938021675
THE BRONX,Bronx,25to34,25 to 34,48258,29890,0.2126807728300879
THE BRONX,Bronx,18to24,18 to 24,22094,11282,0.1595723482433646
THE BRONX,Bronx,<18,<18,2352,327,0.0067345051360346
THE BRONX,Bronx,%all%,%all%,426673,299916,0.3002581401100558
%all%,%all%,85andUp,85+,85982,72130,0.4805128033173502
%all%,%all%,75to84,75 to 84,236395,199515,0.6177441888188194
%all%,%all%,65to74,65 to 74,484570,401780,0.6741421406659758
%all%,%all%,55to64,55 to 64,579749,405144,0.5803732397247318
%all%,%all%,45to54,45 to 54,501915,311823,0.488202846646247
%all%,%all%,35to44,35 to 44,492182,287589,0.4329135390260937
%all%,%all%,25to34,25 to 34,552232,302140,0.3721994825095926
%all%,%all%,18to24,18 to 24,185627,85699,0.2634237058504577
%all%,%all%,<18,<18,20535,2955,0.012050192348578
%all%,%all%,%all%,%all%,3139187,2068775,0.3765450291160284
