Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6626,6626
2020-12-17,12/17,11119,11119
2020-12-18,12/18,16905,16905
2020-12-19,12/19,18590,18590
2020-12-20,12/20,19694,19694
2020-12-21,12/21,25965,25965
2020-12-22,12/22,35717,35717
2020-12-23,12/23,49968,49968
2020-12-24,12/24,57205,57205
2020-12-25,12/25,57384,57384
2020-12-26,12/26,61732,61732
2020-12-27,12/27,65569,65569
2020-12-28,12/28,76517,76517
2020-12-29,12/29,87190,87190
2020-12-30,12/30,99987,99987
2020-12-31,12/31,107219,107219
2021-01-01,1/1,107383,107383
2021-01-02,1/2,111188,111188
2021-01-03,1/3,114729,114729
2021-01-04,1/4,127693,127693
2021-01-05,1/5,143712,143712
2021-01-06,1/6,165210,165210
2021-01-07,1/7,186654,186654
2021-01-08,1/8,208455,208455
2021-01-09,1/9,217544,217544
2021-01-10,1/10,226330,226330
2021-01-11,1/11,259237,259237
2021-01-12,1/12,294861,294861
2021-01-13,1/13,335664,335664
2021-01-14,1/14,376376,376376
2021-01-15,1/15,408731,408731
2021-01-16,1/16,441025,441025
2021-01-17,1/17,466308,466308
2021-01-18,1/18,495384,495384
2021-01-19,1/19,538596,538596
2021-01-20,1/20,582437,582437
2021-01-21,1/21,615490,615490
2021-01-22,1/22,643988,643988
2021-01-23,1/23,662479,662479
2021-01-24,1/24,672818,672818
2021-01-25,1/25,696837,696837
2021-01-26,1/26,723714,723714
2021-01-27,1/27,756179,756179
2021-01-28,1/28,798002,798002
2021-01-29,1/29,840586,840586
2021-01-30,1/30,862525,862525
2021-01-31,1/31,878135,878135
2021-02-01,2/1,884466,884466
2021-02-02,2/2,896413,896413
2021-02-03,2/3,933000,933000
2021-02-04,2/4,978830,978830
2021-02-05,2/5,1025412,1025412
2021-02-06,2/6,1059087,1059087
2021-02-07,2/7,1079112,1079112
2021-02-08,2/8,1118757,1118757
2021-02-09,2/9,1163362,1163362
2021-02-10,2/10,1211229,1211229
2021-02-11,2/11,1271599,1271599
2021-02-12,2/12,1339466,1339466
2021-02-13,2/13,1391785,1391785
2021-02-14,2/14,1431345,1431345
2021-02-15,2/15,1454025,1454025
2021-02-16,2/16,1494174,1494174
2021-02-17,2/17,1531707,1531707
2021-02-18,2/18,1567839,1567839
2021-02-19,2/19,1604337,1604337
2021-02-20,2/20,1641286,1641286
2021-02-21,2/21,1664882,1664882
2021-02-22,2/22,1689093,1689093
2021-02-23,2/23,1727697,1727697
2021-02-24,2/24,1783288,1783288
2021-02-25,2/25,1866826,1866826
2021-02-26,2/26,1960013,1960013
2021-02-27,2/27,2033229,2033229
2021-02-28,2/28,2091136,2091136
2021-03-01,3/1,2141876,2141876
2021-03-02,3/2,2200195,2200195
2021-03-03,3/3,2263585,2263585
2021-03-04,3/4,2345747,2345747
2021-03-05,3/5,2432253,2432253
2021-03-06,3/6,2502704,2502704
2021-03-07,3/7,2559229,2559229
2021-03-08,3/8,2621092,2621092
2021-03-09,3/9,2679296,2679296
2021-03-10,3/10,2749586,2749586
2021-03-11,3/11,2833968,2833968
2021-03-12,3/12,2918403,2918403
2021-03-13,3/13,2989707,2989707
2021-03-14,3/14,3039797,3039797
2021-03-15,3/15,3093699,3093699
2021-03-16,3/16,3155722,3155722
2021-03-17,3/17,3225515,3225515
2021-03-18,3/18,3306293,3306293
2021-03-19,3/19,3387415,3387415
2021-03-20,3/20,3454803,3454803
2021-03-21,3/21,3503148,3503148
2021-03-22,3/22,3565956,3565956
2021-03-23,3/23,3639296,3639296
2021-03-24,3/24,3720975,3720975
2021-03-25,3/25,3817361,3817361
2021-03-26,3/26,3912669,3912669
2021-03-27,3/27,3994496,3994496
2021-03-28,3/28,4054893,4054893
2021-03-29,3/29,4129442,4129442
2021-03-30,3/30,4213629,4213629
2021-03-31,3/31,4312965,4312965
2021-04-01,4/1,4426451,4426451
2021-04-02,4/2,4533354,4533354
2021-04-03,4/3,4619257,4619257
2021-04-04,4/4,4671348,4671348
2021-04-05,4/5,4755223,4755223
2021-04-06,4/6,4852143,4852143
2021-04-07,4/7,4956062,4956062
2021-04-08,4/8,5071621,5071621
2021-04-09,4/9,5184936,5184936
2021-04-10,4/10,5278342,5278342
2021-04-11,4/11,5341283,5341283
2021-04-12,4/12,5420252,5420252
2021-04-13,4/13,5497008,5497008
2021-04-14,4/14,5579511,5579511
2021-04-15,4/15,5667683,5667683
2021-04-16,4/16,5752973,5752973
2021-04-17,4/17,5822023,5822023
2021-04-18,4/18,5861440,5861440
2021-04-19,4/19,5922347,5922347
2021-04-20,4/20,5988427,5988427
2021-04-21,4/21,6058468,6058468
2021-04-22,4/22,6131487,6131487
2021-04-23,4/23,6201417,6201417
2021-04-24,4/24,6261640,6261640
2021-04-25,4/25,6298788,6298788
2021-04-26,4/26,6346319,6346319
2021-04-27,4/27,6401703,6401703
2021-04-28,4/28,6462267,6462267
2021-04-29,4/29,6519877,6519877
2021-04-30,4/30,6557383,6557383
