Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.5075229728365142
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6603632525616782
STATEN ISLAND,Staten Island,65to74,65 to 74,0.679504490023361
STATEN ISLAND,Staten Island,55to64,55 to 64,0.5078935430213216
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3610920650751107
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2826241254605063
STATEN ISLAND,Staten Island,25to34,25 to 34,0.2082077906024506
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1344019007208476
STATEN ISLAND,Staten Island,%all%,%all%,0.3859842687876368
QUEENS,Queens,85andUp,85+,0.4315528428873469
QUEENS,Queens,75to84,75 to 84,0.5444852074524758
QUEENS,Queens,65to74,65 to 74,0.6021354009548564
QUEENS,Queens,55to64,55 to 64,0.4692536006743214
QUEENS,Queens,45to54,45 to 54,0.358741142910079
QUEENS,Queens,35to44,35 to 44,0.3008335184940074
QUEENS,Queens,25to34,25 to 34,0.233046715912008
QUEENS,Queens,18to24,18 to 24,0.138565484044605
QUEENS,Queens,%all%,%all%,0.3622547087212023
MANHATTAN,Manhattan,85andUp,85+,0.5472105185903656
MANHATTAN,Manhattan,75to84,75 to 84,0.6798027473024512
MANHATTAN,Manhattan,65to74,65 to 74,0.698992998026376
MANHATTAN,Manhattan,55to64,55 to 64,0.564511522236754
MANHATTAN,Manhattan,45to54,45 to 54,0.4391531771167688
MANHATTAN,Manhattan,35to44,35 to 44,0.3698133392879361
MANHATTAN,Manhattan,25to34,25 to 34,0.3188207783640793
MANHATTAN,Manhattan,18to24,18 to 24,0.21871364598835
MANHATTAN,Manhattan,%all%,%all%,0.4355588516981962
BROOKLYN,Brooklyn,85andUp,85+,0.3528834837191056
BROOKLYN,Brooklyn,75to84,75 to 84,0.4790504495551326
BROOKLYN,Brooklyn,65to74,65 to 74,0.5264194289465048
BROOKLYN,Brooklyn,55to64,55 to 64,0.3972456996867727
BROOKLYN,Brooklyn,45to54,45 to 54,0.3170202392963307
BROOKLYN,Brooklyn,35to44,35 to 44,0.2771868173615728
BROOKLYN,Brooklyn,25to34,25 to 34,0.2341987188351655
BROOKLYN,Brooklyn,18to24,18 to 24,0.1119195882635503
BROOKLYN,Brooklyn,%all%,%all%,0.312104788021443
THE BRONX,Bronx,85andUp,85+,0.3889238327908543
THE BRONX,Bronx,75to84,75 to 84,0.5361488360597348
THE BRONX,Bronx,65to74,65 to 74,0.6129995228148086
THE BRONX,Bronx,55to64,55 to 64,0.483968977708946
THE BRONX,Bronx,45to54,45 to 54,0.3353302239545969
THE BRONX,Bronx,35to44,35 to 44,0.2357943719962761
THE BRONX,Bronx,25to34,25 to 34,0.1435015674938972
THE BRONX,Bronx,18to24,18 to 24,0.084040184853797
THE BRONX,Bronx,%all%,%all%,0.3077531871463139
%all%,%all%,85andUp,85+,0.4327476556125585
%all%,%all%,75to84,75 to 84,0.5621538754503356
%all%,%all%,65to74,65 to 74,0.6065206352297944
%all%,%all%,55to64,55 to 64,0.4709625594316478
%all%,%all%,45to54,45 to 54,0.3580494646853817
%all%,%all%,35to44,35 to 44,0.2962619600916875
%all%,%all%,25to34,25 to 34,0.2394191813838252
%all%,%all%,18to24,18 to 24,0.1361359043993614
%all%,%all%,%all%,%all%,0.3550686504214528
