Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.3655115517285387
STATEN ISLAND,Staten Island,F,Female,0.4016222995434797
QUEENS,Queens,M,Male,0.3383884566561778
QUEENS,Queens,F,Female,0.3732522111501653
MANHATTAN,Manhattan,M,Male,0.4150277356497545
MANHATTAN,Manhattan,F,Female,0.4450379520286068
BROOKLYN,Brooklyn,M,Male,0.2924153442369531
BROOKLYN,Brooklyn,F,Female,0.3201238569030409
THE BRONX,Bronx,M,Male,0.293400431666606
THE BRONX,Bronx,F,Female,0.3179065232313349
%all%,%all%,M,Male,0.3352818409344639
%all%,%all%,F,Female,0.3645609002004268
