Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3314308693262604
Latino,Latino,STATEN ISLAND,Staten Island,0.2182812324427356
Black,Black,STATEN ISLAND,Staten Island,0.2009032546778621
Asian,Asian,STATEN ISLAND,Staten Island,0.4370791586771149
White,White,QUEENS,Queens,0.3031330742743846
Latino,Latino,QUEENS,Queens,0.2248944104278819
Black,Black,QUEENS,Queens,0.1827436916502588
Asian,Asian,QUEENS,Queens,0.4028285424617769
White,White,MANHATTAN,Manhattan,0.419577743623641
Latino,Latino,MANHATTAN,Manhattan,0.2645033339915424
Black,Black,MANHATTAN,Manhattan,0.2467328896266051
Asian,Asian,MANHATTAN,Manhattan,0.3846339044628416
White,White,BROOKLYN,Brooklyn,0.2941509630787071
Latino,Latino,BROOKLYN,Brooklyn,0.1992307814832899
Black,Black,BROOKLYN,Brooklyn,0.1852936207358564
Asian,Asian,BROOKLYN,Brooklyn,0.3807759846161119
White,White,THE BRONX,Bronx,0.3185235485284465
Latino,Latino,THE BRONX,Bronx,0.1916432954575147
Black,Black,THE BRONX,Bronx,0.1966707894317286
Asian,Asian,THE BRONX,Bronx,0.350256274135014
White,White,%all%,%all%,0.3395131786341275
Latino,Latino,%all%,%all%,0.2160055254021421
Black,Black,%all%,%all%,0.1946215580446202
Asian,Asian,%all%,%all%,0.3930720679626594
