Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-13,4/13,34287,34287
2021-04-12,4/12,49964,49964
2021-04-11,4/11,48753,48753
2021-04-10,4/10,86714,86714
2021-04-09,4/9,105838,105838
2021-04-08,4/8,108737,108737
2021-04-07,4/7,96826,96826
2021-04-06,4/6,90518,90518
2021-04-05,4/5,78607,78607
2021-04-04,4/4,49726,49726
2021-04-03,4/3,82989,82989
2021-04-02,4/2,103872,103872
2021-04-01,4/1,110706,110706
2021-03-31,3/31,97305,97305
2021-03-30,3/30,82460,82460
2021-03-29,3/29,73534,73534
2021-03-28,3/28,59126,59126
2021-03-27,3/27,79180,79180
2021-03-26,3/26,92770,92770
2021-03-25,3/25,95010,95010
2021-03-24,3/24,80434,80434
2021-03-23,3/23,71284,71284
2021-03-22,3/22,61183,61183
2021-03-21,3/21,48116,48116
2021-03-20,3/20,66064,66064
2021-03-19,3/19,79796,79796
2021-03-18,3/18,81079,81079
2021-03-17,3/17,69981,69981
2021-03-16,3/16,61962,61962
2021-03-15,3/15,53895,53895
2021-03-14,3/14,49796,49796
2021-03-13,3/13,70145,70145
2021-03-12,3/12,83363,83363
2021-03-11,3/11,83380,83380
2021-03-10,3/10,70159,70159
2021-03-09,3/9,58072,58072
2021-03-08,3/8,61682,61682
2021-03-07,3/7,56303,56303
2021-03-06,3/6,70057,70057
2021-03-05,3/5,85604,85604
2021-03-04,3/4,81721,81721
2021-03-03,3/3,63241,63241
2021-03-02,3/2,58203,58203
2021-03-01,3/1,50607,50607
2021-02-28,2/28,57355,57355
2021-02-27,2/27,72592,72592
2021-02-26,2/26,92261,92261
2021-02-25,2/25,83334,83334
2021-02-24,2/24,55570,55570
2021-02-23,2/23,38563,38563
2021-02-22,2/22,24157,24157
2021-02-21,2/21,23619,23619
2021-02-20,2/20,36353,36353
2021-02-19,2/19,36333,36333
2021-02-18,2/18,35996,35996
2021-02-17,2/17,37357,37357
2021-02-16,2/16,39955,39955
2021-02-15,2/15,22503,22503
2021-02-14,2/14,39461,39461
2021-02-13,2/13,52077,52077
2021-02-12,2/12,67310,67310
2021-02-11,2/11,60142,60142
2021-02-10,2/10,47861,47861
2021-02-09,2/9,44597,44597
2021-02-08,2/8,39620,39620
2021-02-07,2/7,20015,20015
2021-02-06,2/6,33660,33660
2021-02-05,2/5,46554,46554
2021-02-04,2/4,45724,45724
2021-02-03,2/3,36577,36577
2021-02-02,2/2,11952,11952
2021-02-01,2/1,6323,6323
2021-01-31,1/31,15603,15603
2021-01-30,1/30,21931,21931
2021-01-29,1/29,42580,42580
2021-01-28,1/28,41821,41821
2021-01-27,1/27,32458,32458
2021-01-26,1/26,26857,26857
2021-01-25,1/25,24024,24024
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18490,18490
2021-01-22,1/22,28481,28481
2021-01-21,1/21,33061,33061
2021-01-20,1/20,43835,43835
2021-01-19,1/19,43199,43199
2021-01-18,1/18,29064,29064
2021-01-17,1/17,25239,25239
2021-01-16,1/16,32288,32288
2021-01-15,1/15,32330,32330
2021-01-14,1/14,40707,40707
2021-01-13,1/13,40790,40790
2021-01-12,1/12,35621,35621
2021-01-11,1/11,32906,32906
2021-01-10,1/10,8772,8772
2021-01-09,1/9,9085,9085
2021-01-08,1/8,21790,21790
2021-01-07,1/7,21429,21429
2021-01-06,1/6,21501,21501
2021-01-05,1/5,16020,16020
2021-01-04,1/4,12963,12963
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3805,3805
2021-01-01,1/1,164,164
2020-12-31,12/31,7234,7234
2020-12-30,12/30,12797,12797
2020-12-29,12/29,10672,10672
2020-12-28,12/28,10945,10945
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,180,180
2020-12-24,12/24,7235,7235
2020-12-23,12/23,14222,14222
2020-12-22,12/22,9716,9716
2020-12-21,12/21,6270,6270
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5778,5778
2020-12-17,12/17,4489,4489
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2034,2034
2020-12-14,12/14,77,77
