Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2179212911399225
Latino,Latino,STATEN ISLAND,Staten Island,0.1103357328390634
Black,Black,STATEN ISLAND,Staten Island,0.1095321686366115
Asian,Asian,STATEN ISLAND,Staten Island,0.2194328762360161
White,White,QUEENS,Queens,0.1850849902398121
Latino,Latino,QUEENS,Queens,0.1069844100643227
Black,Black,QUEENS,Queens,0.1033697716661891
Asian,Asian,QUEENS,Queens,0.2074858273891569
White,White,MANHATTAN,Manhattan,0.2687274653217262
Latino,Latino,MANHATTAN,Manhattan,0.1508942987699916
Black,Black,MANHATTAN,Manhattan,0.1431821837530818
Asian,Asian,MANHATTAN,Manhattan,0.1926657035048608
White,White,BROOKLYN,Brooklyn,0.1671855968526209
Latino,Latino,BROOKLYN,Brooklyn,0.0980225519499353
Black,Black,BROOKLYN,Brooklyn,0.100298398114248
Asian,Asian,BROOKLYN,Brooklyn,0.1770625792192867
White,White,THE BRONX,Bronx,0.2202491246399392
Latino,Latino,THE BRONX,Bronx,0.1081380330712585
Black,Black,THE BRONX,Bronx,0.1174020291989672
Asian,Asian,THE BRONX,Bronx,0.2056437240102262
White,White,%all%,%all%,0.2099336732698214
Latino,Latino,%all%,%all%,0.1136327266098677
Black,Black,%all%,%all%,0.1098740581445517
Asian,Asian,%all%,%all%,0.1975956178400514
