Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3918004645057054
STATEN ISLAND,Staten Island,75to84,75 to 84,0.501473239808259
STATEN ISLAND,Staten Island,65to74,65 to 74,0.5025397029511992
STATEN ISLAND,Staten Island,55to64,55 to 64,0.2723574776954484
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1979212117434395
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1619630243012134
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1198257080610022
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0655625175871951
STATEN ISLAND,Staten Island,%all%,%all%,0.2395247880547731
QUEENS,Queens,85andUp,85+,0.3010158076425949
QUEENS,Queens,75to84,75 to 84,0.3757408085433903
QUEENS,Queens,65to74,65 to 74,0.397320923103629
QUEENS,Queens,55to64,55 to 64,0.2237995024181608
QUEENS,Queens,45to54,45 to 54,0.1766088806858341
QUEENS,Queens,35to44,35 to 44,0.1545190344991947
QUEENS,Queens,25to34,25 to 34,0.1228227007013616
QUEENS,Queens,18to24,18 to 24,0.0689078694765621
QUEENS,Queens,%all%,%all%,0.2004953674831226
MANHATTAN,Manhattan,85andUp,85+,0.448982300872497
MANHATTAN,Manhattan,75to84,75 to 84,0.5697232086999776
MANHATTAN,Manhattan,65to74,65 to 74,0.5656907114481724
MANHATTAN,Manhattan,55to64,55 to 64,0.2997845277119461
MANHATTAN,Manhattan,45to54,45 to 54,0.223366051315068
MANHATTAN,Manhattan,35to44,35 to 44,0.1950490840519663
MANHATTAN,Manhattan,25to34,25 to 34,0.1668727556924108
MANHATTAN,Manhattan,18to24,18 to 24,0.0977099671475326
MANHATTAN,Manhattan,%all%,%all%,0.2654027990493971
BROOKLYN,Brooklyn,85andUp,85+,0.2426441741859553
BROOKLYN,Brooklyn,75to84,75 to 84,0.3300269076794705
BROOKLYN,Brooklyn,65to74,65 to 74,0.3516645025042451
BROOKLYN,Brooklyn,55to64,55 to 64,0.188506833254589
BROOKLYN,Brooklyn,45to54,45 to 54,0.1526174305776562
BROOKLYN,Brooklyn,35to44,35 to 44,0.1361840965847827
BROOKLYN,Brooklyn,25to34,25 to 34,0.1135964734991203
BROOKLYN,Brooklyn,18to24,18 to 24,0.0518746810433936
BROOKLYN,Brooklyn,%all%,%all%,0.1679606599534585
THE BRONX,Bronx,85andUp,85+,0.2921345344979723
THE BRONX,Bronx,75to84,75 to 84,0.3936042070512634
THE BRONX,Bronx,65to74,65 to 74,0.4343843737135811
THE BRONX,Bronx,55to64,55 to 64,0.2704244581119725
THE BRONX,Bronx,45to54,45 to 54,0.1915129631751119
THE BRONX,Bronx,35to44,35 to 44,0.1385233338467189
THE BRONX,Bronx,25to34,25 to 34,0.0862878041203592
THE BRONX,Bronx,18to24,18 to 24,0.0415795242526048
THE BRONX,Bronx,%all%,%all%,0.1903292262537111
%all%,%all%,85andUp,85+,0.3210218064357487
%all%,%all%,75to84,75 to 84,0.4165837162577081
%all%,%all%,65to74,65 to 74,0.4308516336368506
%all%,%all%,55to64,55 to 64,0.2383793968820512
%all%,%all%,45to54,45 to 54,0.1823532444238669
%all%,%all%,35to44,35 to 44,0.1548808784543313
%all%,%all%,25to34,25 to 34,0.1248561871376876
%all%,%all%,18to24,18 to 24,0.0642115416524617
%all%,%all%,%all%,%all%,0.2048538393439713
