Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.2221919291486478
STATEN ISLAND,Staten Island,F,Female,0.2532869827263993
QUEENS,Queens,M,Male,0.1845253887099906
QUEENS,Queens,F,Female,0.2098691284836751
MANHATTAN,Manhattan,M,Male,0.2450240631655357
MANHATTAN,Manhattan,F,Female,0.2787974856988074
BROOKLYN,Brooklyn,M,Male,0.1533149138719822
BROOKLYN,Brooklyn,F,Female,0.1760176883091664
THE BRONX,Bronx,M,Male,0.1797700155952739
THE BRONX,Bronx,F,Female,0.1982691371070997
%all%,%all%,M,Male,0.1893469027523475
%all%,%all%,F,Female,0.2144801355931351
