Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3693854186361322
Latino,Latino,STATEN ISLAND,Staten Island,0.2662142318209156
Black,Black,STATEN ISLAND,Staten Island,0.2348138662780525
Asian,Asian,STATEN ISLAND,Staten Island,0.5349012874207416
White,White,QUEENS,Queens,0.346597300919883
Latino,Latino,QUEENS,Queens,0.2745807228301496
Black,Black,QUEENS,Queens,0.2103404340639951
Asian,Asian,QUEENS,Queens,0.4841979648158596
White,White,MANHATTAN,Manhattan,0.4847798743238626
Latino,Latino,MANHATTAN,Manhattan,0.3155567240650705
Black,Black,MANHATTAN,Manhattan,0.2916266135871504
Asian,Asian,MANHATTAN,Manhattan,0.49254751278728
White,White,BROOKLYN,Brooklyn,0.3445636820214178
Latino,Latino,BROOKLYN,Brooklyn,0.2458036717493154
Black,Black,BROOKLYN,Brooklyn,0.2147637692394063
Asian,Asian,BROOKLYN,Brooklyn,0.47434232208112
White,White,THE BRONX,Bronx,0.3607048406567398
Latino,Latino,THE BRONX,Bronx,0.2318247599194939
Black,Black,THE BRONX,Bronx,0.2291591236105123
Asian,Asian,THE BRONX,Bronx,0.4098973670534305
White,White,%all%,%all%,0.3912710569933263
Latino,Latino,%all%,%all%,0.2621927207957122
Black,Black,%all%,%all%,0.2262002833068759
Asian,Asian,%all%,%all%,0.481930112099984
