Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,74646,49689,0.4183247261710543
STATEN ISLAND,Staten Island,F,Female,88402,60888,0.4539774511775506
QUEENS,Queens,M,Male,348376,219290,0.398582711134731
QUEENS,Queens,F,Female,409882,264639,0.4336814255522794
MANHATTAN,Manhattan,M,Male,317572,200606,0.4895486686690332
MANHATTAN,Manhattan,F,Female,379303,251864,0.5160236310838568
BROOKLYN,Brooklyn,M,Male,319774,190429,0.348308218311955
BROOKLYN,Brooklyn,F,Female,398146,247832,0.3732284803643911
THE BRONX,Bronx,M,Male,166450,109139,0.3402861134013389
THE BRONX,Bronx,F,Female,212452,141958,0.3646448117305466
%all%,%all%,M,Male,1226818,769153,0.3946775618422873
%all%,%all%,F,Female,1488185,967181,0.4222653039300292
