Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2285902619399276
Latino,Latino,STATEN ISLAND,Staten Island,0.1183578149326474
Black,Black,STATEN ISLAND,Staten Island,0.118439605201316
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.2660765578287121
White,White,QUEENS,Queens,0.2209105973382069
Latino,Latino,QUEENS,Queens,0.1362563738312219
Black,Black,QUEENS,Queens,0.1249220285358538
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.2710967829534408
White,White,MANHATTAN,Manhattan,0.3189535183856333
Latino,Latino,MANHATTAN,Manhattan,0.178350750213361
Black,Black,MANHATTAN,Manhattan,0.1679439167194508
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.2680631193084309
White,White,BROOKLYN,Brooklyn,0.1875331998963101
Latino,Latino,BROOKLYN,Brooklyn,0.1211630027352852
Black,Black,BROOKLYN,Brooklyn,0.1200445422586133
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.2362596314646078
White,White,THE BRONX,Bronx,0.2355017059132261
Latino,Latino,THE BRONX,Bronx,0.1176942696222017
Black,Black,THE BRONX,Bronx,0.1261600996833869
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2313240661887018
White,White,%all%,%all%,0.2386572437635535
Latino,Latino,%all%,%all%,0.1335073176568644
Black,Black,%all%,%all%,0.1277209274813676
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.2594877606307177
