Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2710413795291356
Latino,Latino,STATEN ISLAND,Staten Island,0.1579796475552246
Black,Black,STATEN ISLAND,Staten Island,0.1503771177905597
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.3607870723176427
White,White,QUEENS,Queens,0.2737688985259639
Latino,Latino,QUEENS,Queens,0.1852257602641256
Black,Black,QUEENS,Queens,0.1563885837558503
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3490657951251629
White,White,MANHATTAN,Manhattan,0.3953703782438069
Latino,Latino,MANHATTAN,Manhattan,0.2288993585626023
Black,Black,MANHATTAN,Manhattan,0.2124061332034994
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.371545016729256
White,White,BROOKLYN,Brooklyn,0.2376124546887815
Latino,Latino,BROOKLYN,Brooklyn,0.1601330634573757
Black,Black,BROOKLYN,Brooklyn,0.1496924901331272
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3192316709125862
White,White,THE BRONX,Bronx,0.288718325102204
Latino,Latino,THE BRONX,Bronx,0.1517454574151105
Black,Black,THE BRONX,Bronx,0.1581954795263872
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2896513566634143
White,White,%all%,%all%,0.2961730455455232
Latino,Latino,%all%,%all%,0.1754492302740975
Black,Black,%all%,%all%,0.1599925075909934
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3427217944914326
