Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3430316788336606
Latino,Latino,STATEN ISLAND,Staten Island,0.2452898305467181
Black,Black,STATEN ISLAND,Staten Island,0.2244130614802713
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5503644215174786
White,White,QUEENS,Queens,0.3708514881743656
Latino,Latino,QUEENS,Queens,0.3104245812449961
Black,Black,QUEENS,Queens,0.2307938757864671
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5539010489784062
White,White,MANHATTAN,Manhattan,0.5288393011242282
Latino,Latino,MANHATTAN,Manhattan,0.3347849262387282
Black,Black,MANHATTAN,Manhattan,0.3070334157206307
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6040379282642064
White,White,BROOKLYN,Brooklyn,0.3397310861518718
Latino,Latino,BROOKLYN,Brooklyn,0.262072572925432
Black,Black,BROOKLYN,Brooklyn,0.2262517978612354
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5448947376646922
White,White,THE BRONX,Bronx,0.37130526752292
Latino,Latino,THE BRONX,Bronx,0.2272033367072788
Black,Black,THE BRONX,Bronx,0.2235289086217988
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4272961670349319
White,White,%all%,%all%,0.4020509504932185
Latino,Latino,%all%,%all%,0.2748464055388907
Black,Black,%all%,%all%,0.2354538822508774
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5537181775588054
