Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3525194385539736
STATEN ISLAND,Staten Island,75to84,75 to 84,0.4488324024803202
STATEN ISLAND,Staten Island,65to74,65 to 74,0.4473949291669346
STATEN ISLAND,Staten Island,55to64,55 to 64,0.2275517919249962
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1688742753849031
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1419880352857674
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1052550255720886
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0552782011029292
STATEN ISLAND,Staten Island,%all%,%all%,0.2086566583925002
QUEENS,Queens,85andUp,85+,0.2720958204604589
QUEENS,Queens,75to84,75 to 84,0.3396027726843573
QUEENS,Queens,65to74,65 to 74,0.3532247253459051
QUEENS,Queens,55to64,55 to 64,0.1914385562890241
QUEENS,Queens,45to54,45 to 54,0.1520140754451269
QUEENS,Queens,35to44,35 to 44,0.1344386239637858
QUEENS,Queens,25to34,25 to 34,0.1089991813245334
QUEENS,Queens,18to24,18 to 24,0.0610040681686607
QUEENS,Queens,%all%,%all%,0.1760708976160963
MANHATTAN,Manhattan,85andUp,85+,0.4176456915391893
MANHATTAN,Manhattan,75to84,75 to 84,0.5344935526096346
MANHATTAN,Manhattan,65to74,65 to 74,0.518419581350121
MANHATTAN,Manhattan,55to64,55 to 64,0.2322925897032013
MANHATTAN,Manhattan,45to54,45 to 54,0.1785499596694254
MANHATTAN,Manhattan,35to44,35 to 44,0.1593383003999154
MANHATTAN,Manhattan,25to34,25 to 34,0.1402496575793759
MANHATTAN,Manhattan,18to24,18 to 24,0.0789305406661246
MANHATTAN,Manhattan,%all%,%all%,0.2272883462358951
BROOKLYN,Brooklyn,85andUp,85+,0.2178893683797568
BROOKLYN,Brooklyn,75to84,75 to 84,0.2968938974883041
BROOKLYN,Brooklyn,65to74,65 to 74,0.3132375394186727
BROOKLYN,Brooklyn,55to64,55 to 64,0.1615867849580905
BROOKLYN,Brooklyn,45to54,45 to 54,0.1318465903319949
BROOKLYN,Brooklyn,35to44,35 to 44,0.1194041107752817
BROOKLYN,Brooklyn,25to34,25 to 34,0.1014698717771428
BROOKLYN,Brooklyn,18to24,18 to 24,0.0460958579348586
BROOKLYN,Brooklyn,%all%,%all%,0.1480043892650251
THE BRONX,Bronx,85andUp,85+,0.2733029079174931
THE BRONX,Bronx,75to84,75 to 84,0.3626665639884699
THE BRONX,Bronx,65to74,65 to 74,0.3953090472430059
THE BRONX,Bronx,55to64,55 to 64,0.2281622232450299
THE BRONX,Bronx,45to54,45 to 54,0.1623988073251294
THE BRONX,Bronx,35to44,35 to 44,0.1196383543230183
THE BRONX,Bronx,25to34,25 to 34,0.0759574188678885
THE BRONX,Bronx,18to24,18 to 24,0.0355560183942285
THE BRONX,Bronx,%all%,%all%,0.1670575386159834
%all%,%all%,85andUp,85+,0.2936771395678951
%all%,%all%,75to84,75 to 84,0.381292634508948
%all%,%all%,65to74,65 to 74,0.3877795477152735
%all%,%all%,55to64,55 to 64,0.1987357568475896
%all%,%all%,45to54,45 to 54,0.1540151757584718
%all%,%all%,35to44,35 to 44,0.1328447558549256
%all%,%all%,25to34,25 to 34,0.1089702156569493
%all%,%all%,18to24,18 to 24,0.0549476417252324
%all%,%all%,%all%,%all%,0.1787341391944151
