Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.1916553612819078
Latino,Latino,STATEN ISLAND,Staten Island,0.0911015741193721
Black,Black,STATEN ISLAND,Staten Island,0.0937528673652323
Asian,Asian,STATEN ISLAND,Staten Island,0.1830157314848236
White,White,QUEENS,Queens,0.1632563363846779
Latino,Latino,QUEENS,Queens,0.0893523095662008
Black,Black,QUEENS,Queens,0.0926245926847003
Asian,Asian,QUEENS,Queens,0.1789533754997647
White,White,MANHATTAN,Manhattan,0.2299795336357114
Latino,Latino,MANHATTAN,Manhattan,0.1231790813080567
Black,Black,MANHATTAN,Manhattan,0.1206365424095142
Asian,Asian,MANHATTAN,Manhattan,0.1588645086536747
White,White,BROOKLYN,Brooklyn,0.1484552716523638
Latino,Latino,BROOKLYN,Brooklyn,0.0830877854511254
Black,Black,BROOKLYN,Brooklyn,0.0885807931898611
Asian,Asian,BROOKLYN,Brooklyn,0.149363929364911
White,White,THE BRONX,Bronx,0.2009229976212298
Latino,Latino,THE BRONX,Bronx,0.0913619448624926
Black,Black,THE BRONX,Bronx,0.1020093327199686
Asian,Asian,THE BRONX,Bronx,0.1818137645755648
White,White,%all%,%all%,0.1836018049364605
Latino,Latino,%all%,%all%,0.0949341630619645
Black,Black,%all%,%all%,0.0962366797443888
Asian,Asian,%all%,%all%,0.1682262026721873
