Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6626,6626
2020-12-17,12/17,11119,11119
2020-12-18,12/18,16904,16904
2020-12-19,12/19,18589,18589
2020-12-20,12/20,19693,19693
2020-12-21,12/21,25963,25963
2020-12-22,12/22,35714,35714
2020-12-23,12/23,49964,49964
2020-12-24,12/24,57201,57201
2020-12-25,12/25,57380,57380
2020-12-26,12/26,61728,61728
2020-12-27,12/27,65566,65566
2020-12-28,12/28,76514,76514
2020-12-29,12/29,87187,87187
2020-12-30,12/30,99984,99984
2020-12-31,12/31,107217,107217
2021-01-01,1/1,107381,107381
2021-01-02,1/2,111186,111186
2021-01-03,1/3,114727,114727
2021-01-04,1/4,127691,127691
2021-01-05,1/5,143710,143710
2021-01-06,1/6,165208,165208
2021-01-07,1/7,186652,186652
2021-01-08,1/8,208454,208454
2021-01-09,1/9,217544,217544
2021-01-10,1/10,226331,226331
2021-01-11,1/11,259238,259238
2021-01-12,1/12,294864,294864
2021-01-13,1/13,335667,335667
2021-01-14,1/14,376379,376379
2021-01-15,1/15,408752,408752
2021-01-16,1/16,441046,441046
2021-01-17,1/17,466327,466327
2021-01-18,1/18,495404,495404
2021-01-19,1/19,538612,538612
2021-01-20,1/20,582453,582453
2021-01-21,1/21,615509,615509
2021-01-22,1/22,644007,644007
2021-01-23,1/23,662498,662498
2021-01-24,1/24,672839,672839
2021-01-25,1/25,696860,696860
2021-01-26,1/26,723724,723724
2021-01-27,1/27,756194,756194
2021-01-28,1/28,798031,798031
2021-01-29,1/29,840632,840632
2021-01-30,1/30,862571,862571
2021-01-31,1/31,878182,878182
2021-02-01,2/1,884514,884514
2021-02-02,2/2,896463,896463
2021-02-03,2/3,933057,933057
2021-02-04,2/4,978891,978891
2021-02-05,2/5,1025486,1025486
2021-02-06,2/6,1059166,1059166
2021-02-07,2/7,1079190,1079190
2021-02-08,2/8,1118839,1118839
2021-02-09,2/9,1163446,1163446
2021-02-10,2/10,1211319,1211319
2021-02-11,2/11,1271687,1271687
2021-02-12,2/12,1339582,1339582
2021-02-13,2/13,1391998,1391998
2021-02-14,2/14,1431556,1431556
2021-02-15,2/15,1454237,1454237
2021-02-16,2/16,1494391,1494391
2021-02-17,2/17,1531938,1531938
2021-02-18,2/18,1568078,1568078
2021-02-19,2/19,1604586,1604586
2021-02-20,2/20,1641543,1641543
2021-02-21,2/21,1665142,1665142
2021-02-22,2/22,1689356,1689356
2021-02-23,2/23,1727978,1727978
2021-02-24,2/24,1783567,1783567
2021-02-25,2/25,1867105,1867105
2021-02-26,2/26,1960297,1960297
2021-02-27,2/27,2033520,2033520
2021-02-28,2/28,2091435,2091435
2021-03-01,3/1,2142172,2142172
2021-03-02,3/2,2200497,2200497
2021-03-03,3/3,2263888,2263888
2021-03-04,3/4,2346068,2346068
2021-03-05,3/5,2432678,2432678
2021-03-06,3/6,2503134,2503134
2021-03-07,3/7,2559665,2559665
2021-03-08,3/8,2621533,2621533
2021-03-09,3/9,2679750,2679750
2021-03-10,3/10,2750043,2750043
2021-03-11,3/11,2834432,2834432
2021-03-12,3/12,2918884,2918884
2021-03-13,3/13,2990208,2990208
2021-03-14,3/14,3040307,3040307
2021-03-15,3/15,3094214,3094214
2021-03-16,3/16,3156245,3156245
2021-03-17,3/17,3226084,3226084
2021-03-18,3/18,3306879,3306879
2021-03-19,3/19,3388011,3388011
2021-03-20,3/20,3455408,3455408
2021-03-21,3/21,3503757,3503757
2021-03-22,3/22,3566574,3566574
2021-03-23,3/23,3639977,3639977
2021-03-24,3/24,3721701,3721701
2021-03-25,3/25,3818099,3818099
2021-03-26,3/26,3913444,3913444
2021-03-27,3/27,3995287,3995287
2021-03-28,3/28,4055694,4055694
2021-03-29,3/29,4130260,4130260
2021-03-30,3/30,4214467,4214467
2021-03-31,3/31,4313814,4313814
2021-04-01,4/1,4427381,4427381
2021-04-02,4/2,4534333,4534333
2021-04-03,4/3,4620298,4620298
2021-04-04,4/4,4672419,4672419
2021-04-05,4/5,4756337,4756337
2021-04-06,4/6,4853307,4853307
2021-04-07,4/7,4957496,4957496
2021-04-08,4/8,5073137,5073137
2021-04-09,4/9,5186505,5186505
2021-04-10,4/10,5279925,5279925
2021-04-11,4/11,5342872,5342872
2021-04-12,4/12,5421890,5421890
2021-04-13,4/13,5498689,5498689
2021-04-14,4/14,5581328,5581328
2021-04-15,4/15,5669571,5669571
2021-04-16,4/16,5754908,5754908
2021-04-17,4/17,5823968,5823968
2021-04-18,4/18,5863383,5863383
2021-04-19,4/19,5924356,5924356
2021-04-20,4/20,5990501,5990501
2021-04-21,4/21,6060814,6060814
2021-04-22,4/22,6134009,6134009
2021-04-23,4/23,6204016,6204016
2021-04-24,4/24,6265460,6265460
2021-04-25,4/25,6303810,6303810
2021-04-26,4/26,6352583,6352583
2021-04-27,4/27,6409798,6409798
2021-04-28,4/28,6475346,6475346
2021-04-29,4/29,6536736,6536736
2021-04-30,4/30,6592367,6592367
2021-05-01,5/1,6629978,6629978
2021-05-02,5/2,6652108,6652108
2021-05-03,5/3,6680301,6680301
