Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,342835,0.1046461441161173,0.1046461441161173
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,5089,0.0015533543174032,0.0015533543174032
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,9652,0.0029461536395314,0.0029461536395314
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,441241,0.1346833586884061,0.1346833586884061
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,688918,0.2102837000661755,0.2102837000661755
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,696008,0.2124478348884174,0.2124478348884174
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1092393,0.3334394542839492,0.3334394542839492
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,62894,0.1067887808447815,0.1067887808447815
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,827,0.0014041772149749,0.0014041772149749
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1454,0.0024687710647806,0.0024687710647806
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,46679,0.0792570595136827,0.0792570595136827
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,70203,0.1191988549248927,0.1191988549248927
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,77571,0.1317091060977287,0.1317091060977287
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,329329,0.559173250339159,0.559173250339159
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,254045,0.1027536331536137,0.1027536331536137
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,4049,0.0016376998588399,0.0016376998588399
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,7197,0.002910972063243,0.002910972063243
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,308041,0.124593406326723,0.124593406326723
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,540501,0.218616550111836,0.218616550111836
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,559773,0.2264114998968601,0.2264114998968601
18 to 64 years,18 to 64 years,White,White,NYC,NYC,798764,0.3230762385888844,0.3230762385888844
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,45344,0.1034951053005179,0.1034951053005179
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,686,0.0015657560479039,0.0015657560479039
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1087,0.00248101577853,0.00248101577853
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,37348,0.0852446893252413,0.0852446893252413
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,59526,0.135864715025552,0.135864715025552
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,63851,0.1457362819456459,0.1457362819456459
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,230285,0.5256124365766092,0.5256124365766092
65+ years,65+ years,Other,Other,NYC,NYC,85506,0.1096486616107861,0.1096486616107861
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,988,0.0012669622912013,0.0012669622912013
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2230,0.0028596416086831,0.0028596416086831
65+ years,65+ years,Black,Black,NYC,NYC,130504,0.1673518692823197,0.1673518692823197
65+ years,65+ years,Latino,Latino,NYC,NYC,143315,0.1837800615015299,0.1837800615015299
65+ years,65+ years,Asian,Asian,NYC,NYC,129460,0.1660130953632771,0.1660130953632771
65+ years,65+ years,White,White,NYC,NYC,287815,0.369079708342203,0.369079708342203
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,17220,0.1172090363946991,0.1172090363946991
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,134,0.0009120796095755,0.0009120796095755
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,355,0.00241633030895,0.00241633030895
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,9108,0.06199418719413,0.06199418719413
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,10078,0.0685965545171764,0.0685965545171764
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,13081,0.0890366669616178,0.0890366669616178
65+ years,65+ years,White,White,Non- NYC,Non- NYC,96941,0.6598351450138514,0.6598351450138514
