Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,262820,0.1074989099589261,0.1074989099589261
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,3857,0.0015775941545985,0.0015775941545985
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,7208,0.0029482236625216,0.0029482236625216
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,329139,0.1346247763677459,0.1346247763677459
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,479141,0.1959787505388852,0.1959787505388852
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,489677,0.2002881962253902,0.2002881962253902
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,873020,0.3570835490919324,0.3570835490919324
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,56581,0.1109892739727102,0.1109892739727102
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,741,0.0014535453953408,0.0014535453953408
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1245,0.0024421916561394,0.0024421916561394
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,38598,0.0757138261394933,0.0757138261394933
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,54370,0.1066521769833735,0.1066521769833735
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,64448,0.126421178999898,0.126421178999898
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,293805,0.5763278068530449,0.5763278068530449
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,187400,0.1072101393102509,0.1072101393102509
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,2977,0.0017031194489147,0.0017031194489147
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,5158,0.0029508532473974,0.0029508532473974
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,217427,0.1243883615784948,0.1243883615784948
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,355032,0.2031111535730897,0.2031111535730897
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,373612,0.2137406327000079,0.2137406327000079
18 to 64 years,18 to 64 years,White,White,NYC,NYC,606363,0.3468957401418446,0.3468957401418446
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,39860,0.1083140400647819,0.1083140400647819
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,607,0.0016494385930588,0.0016494385930588
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,905,0.0024592123998652,0.0024592123998652
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,30292,0.0823143226704058,0.0823143226704058
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,44940,0.1221182378452408,0.1221182378452408
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,51750,0.1406234714840056,0.1406234714840056
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,199650,0.542521276942642,0.542521276942642
65+ years,65+ years,Other,Other,NYC,NYC,74681,0.107968731702451,0.107968731702451
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,870,0.0012577870754426,0.0012577870754426
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2005,0.0028986932026006,0.0028986932026006
65+ years,65+ years,Black,Black,NYC,NYC,111207,0.1607755486192534,0.1607755486192534
65+ years,65+ years,Latino,Latino,NYC,NYC,123205,0.1781214444021969,0.1781214444021969
65+ years,65+ years,Asian,Asian,NYC,NYC,114875,0.1660784945879013,0.1660784945879013
65+ years,65+ years,White,White,NYC,NYC,264848,0.3828993004101543,0.3828993004101543
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16577,0.1182475087203704,0.1182475087203704
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,131,0.0009344527744688,0.0009344527744688
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,337,0.0024038975953891,0.0024038975953891
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8250,0.0588491251096734,0.0588491251096734
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9233,0.065861087531832,0.065861087531832
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12475,0.0889870103931122,0.0889870103931122
65+ years,65+ years,White,White,Non- NYC,Non- NYC,93186,0.6647169178751544,0.6647169178751544
