Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-22,5/22,17657,17657
2021-05-21,5/21,42946,42946
2021-05-20,5/20,43737,43737
2021-05-19,5/19,49926,49926
2021-05-18,5/18,50311,50311
2021-05-17,5/17,46895,46895
2021-05-16,5/16,28634,28634
2021-05-15,5/15,59982,59982
2021-05-14,5/14,69345,69345
2021-05-13,5/13,62168,62168
2021-05-12,5/12,54272,54272
2021-05-11,5/11,59239,59239
2021-05-10,5/10,52763,52763
2021-05-09,5/9,36621,36621
2021-05-08,5/8,57704,57704
2021-05-07,5/7,72420,72420
2021-05-06,5/6,69455,69455
2021-05-05,5/5,67242,67242
2021-05-04,5/4,76489,76489
2021-05-03,5/3,71512,71512
2021-05-02,5/2,49235,49235
2021-05-01,5/1,66272,66272
2021-04-30,4/30,69500,69500
2021-04-29,4/29,71000,71000
2021-04-28,4/28,68373,68373
2021-04-27,4/27,62721,62721
2021-04-26,4/26,53408,53408
2021-04-25,4/25,39628,39628
2021-04-24,4/24,67411,67411
2021-04-23,4/23,74486,74486
2021-04-22,4/22,77882,77882
2021-04-21,4/21,73544,73544
2021-04-20,4/20,72602,72602
2021-04-19,4/19,69136,69136
2021-04-18,4/18,47160,47160
2021-04-17,4/17,76546,76546
2021-04-16,4/16,90375,90375
2021-04-15,4/15,92591,92591
2021-04-14,4/14,87085,87085
2021-04-13,4/13,83471,83471
2021-04-12,4/12,86303,86303
2021-04-11,4/11,69851,69851
2021-04-10,4/10,93854,93854
2021-04-09,4/9,113779,113779
2021-04-08,4/8,116295,116295
2021-04-07,4/7,105124,105124
2021-04-06,4/6,97758,97758
2021-04-05,4/5,84490,84490
2021-04-04,4/4,52430,52430
2021-04-03,4/3,86519,86519
2021-04-02,4/2,107504,107504
2021-04-01,4/1,113852,113852
2021-03-31,3/31,99662,99662
2021-03-30,3/30,84297,84297
2021-03-29,3/29,74710,74710
2021-03-28,3/28,60424,60424
2021-03-27,3/27,81984,81984
2021-03-26,3/26,95548,95548
2021-03-25,3/25,96678,96678
2021-03-24,3/24,81915,81915
2021-03-23,3/23,73537,73537
2021-03-22,3/22,62934,62934
2021-03-21,3/21,48396,48396
2021-03-20,3/20,67629,67629
2021-03-19,3/19,81567,81567
2021-03-18,3/18,80935,80935
2021-03-17,3/17,69983,69983
2021-03-16,3/16,62311,62311
2021-03-15,3/15,54099,54099
2021-03-14,3/14,50577,50577
2021-03-13,3/13,71773,71773
2021-03-12,3/12,84899,84899
2021-03-11,3/11,84784,84784
2021-03-10,3/10,70431,70431
2021-03-09,3/9,58341,58341
2021-03-08,3/8,62030,62030
2021-03-07,3/7,56548,56548
2021-03-06,3/6,70542,70542
2021-03-05,3/5,86987,86987
2021-03-04,3/4,82357,82357
2021-03-03,3/3,63479,63479
2021-03-02,3/2,58426,58426
2021-03-01,3/1,50919,50919
2021-02-28,2/28,57975,57975
2021-02-27,2/27,73226,73226
2021-02-26,2/26,93448,93448
2021-02-25,2/25,83609,83609
2021-02-24,2/24,55618,55618
2021-02-23,2/23,38669,38669
2021-02-22,2/22,24249,24249
2021-02-21,2/21,23556,23556
2021-02-20,2/20,36995,36995
2021-02-19,2/19,36572,36572
2021-02-18,2/18,36522,36522
2021-02-17,2/17,37691,37691
2021-02-16,2/16,40203,40203
2021-02-15,2/15,22784,22784
2021-02-14,2/14,39608,39608
2021-02-13,2/13,52696,52696
2021-02-12,2/12,68330,68330
2021-02-11,2/11,60513,60513
2021-02-10,2/10,48003,48003
2021-02-09,2/9,44518,44518
2021-02-08,2/8,39745,39745
2021-02-07,2/7,20115,20115
2021-02-06,2/6,33777,33777
2021-02-05,2/5,46713,46713
2021-02-04,2/4,45755,45755
2021-02-03,2/3,36757,36757
2021-02-02,2/2,11990,11990
2021-02-01,2/1,6335,6335
2021-01-31,1/31,15615,15615
2021-01-30,1/30,22016,22016
2021-01-29,1/29,42580,42580
2021-01-28,1/28,41851,41851
2021-01-27,1/27,32450,32450
2021-01-26,1/26,26884,26884
2021-01-25,1/25,24328,24328
2021-01-24,1/24,10334,10334
2021-01-23,1/23,18496,18496
2021-01-22,1/22,28514,28514
2021-01-21,1/21,33069,33069
2021-01-20,1/20,43762,43762
2021-01-19,1/19,43312,43312
2021-01-18,1/18,29099,29099
2021-01-17,1/17,25282,25282
2021-01-16,1/16,32304,32304
2021-01-15,1/15,32378,32378
2021-01-14,1/14,40704,40704
2021-01-13,1/13,40669,40669
2021-01-12,1/12,35606,35606
2021-01-11,1/11,32926,32926
2021-01-10,1/10,8792,8792
2021-01-09,1/9,9088,9088
2021-01-08,1/8,21807,21807
2021-01-07,1/7,21509,21509
2021-01-06,1/6,21532,21532
2021-01-05,1/5,16043,16043
2021-01-04,1/4,12971,12971
2021-01-03,1/3,3545,3545
2021-01-02,1/2,3812,3812
2021-01-01,1/1,164,164
2020-12-31,12/31,7236,7236
2020-12-30,12/30,12817,12817
2020-12-29,12/29,10727,10727
2020-12-28,12/28,10980,10980
2020-12-27,12/27,3839,3839
2020-12-26,12/26,4352,4352
2020-12-25,12/25,179,179
2020-12-24,12/24,7242,7242
2020-12-23,12/23,14250,14250
2020-12-22,12/22,9755,9755
2020-12-21,12/21,6272,6272
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1686,1686
2020-12-18,12/18,5786,5786
2020-12-17,12/17,4496,4496
2020-12-16,12/16,4514,4514
2020-12-15,12/15,2040,2040
2020-12-14,12/14,77,77
