Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3234373422195294
STATEN ISLAND,Staten Island,75to84,75 to 84,0.4102643036193324
STATEN ISLAND,Staten Island,65to74,65 to 74,0.4056023489573287
STATEN ISLAND,Staten Island,55to64,55 to 64,0.1847875396945411
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1440347815246525
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1240747625646399
STATEN ISLAND,Staten Island,25to34,25 to 34,0.0934655974288849
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0449686779606137
STATEN ISLAND,Staten Island,%all%,%all%,0.1824781048140001
QUEENS,Queens,85andUp,85+,0.2384107181766447
QUEENS,Queens,75to84,75 to 84,0.2901794982266177
QUEENS,Queens,65to74,65 to 74,0.2952682168414303
QUEENS,Queens,55to64,55 to 64,0.1465222522975797
QUEENS,Queens,45to54,45 to 54,0.1191889341102471
QUEENS,Queens,35to44,35 to 44,0.1101101227051364
QUEENS,Queens,25to34,25 to 34,0.0919315073304332
QUEENS,Queens,18to24,18 to 24,0.048762047171122
QUEENS,Queens,%all%,%all%,0.1438889979965611
MANHATTAN,Manhattan,85andUp,85+,0.3875143364110087
MANHATTAN,Manhattan,75to84,75 to 84,0.5037128520945058
MANHATTAN,Manhattan,65to74,65 to 74,0.4805796742886638
MANHATTAN,Manhattan,55to64,55 to 64,0.1976694949665389
MANHATTAN,Manhattan,45to54,45 to 54,0.153369704411899
MANHATTAN,Manhattan,35to44,35 to 44,0.1392474816363566
MANHATTAN,Manhattan,25to34,25 to 34,0.1249410980292145
MANHATTAN,Manhattan,18to24,18 to 24,0.0666655749981637
MANHATTAN,Manhattan,%all%,%all%,0.2037877700040779
BROOKLYN,Brooklyn,85andUp,85+,0.1944291879168302
BROOKLYN,Brooklyn,75to84,75 to 84,0.2597387986236769
BROOKLYN,Brooklyn,65to74,65 to 74,0.2677901285655171
BROOKLYN,Brooklyn,55to64,55 to 64,0.1278387316919524
BROOKLYN,Brooklyn,45to54,45 to 54,0.105198296350968
BROOKLYN,Brooklyn,35to44,35 to 44,0.0961992927097708
BROOKLYN,Brooklyn,25to34,25 to 34,0.0813482228146055
BROOKLYN,Brooklyn,18to24,18 to 24,0.0356930140042569
BROOKLYN,Brooklyn,%all%,%all%,0.1217277091904165
THE BRONX,Bronx,85andUp,85+,0.2533060509497987
THE BRONX,Bronx,75to84,75 to 84,0.3350109712785133
THE BRONX,Bronx,65to74,65 to 74,0.3632002715689822
THE BRONX,Bronx,55to64,55 to 64,0.2051985389456763
THE BRONX,Bronx,45to54,45 to 54,0.1474105363336396
THE BRONX,Bronx,35to44,35 to 44,0.1106981246548834
THE BRONX,Bronx,25to34,25 to 34,0.070686454379
THE BRONX,Bronx,18to24,18 to 24,0.0322842580179162
THE BRONX,Bronx,%all%,%all%,0.1529435614330829
%all%,%all%,85andUp,85+,0.2659859839721021
%all%,%all%,75to84,75 to 84,0.343398819148802
%all%,%all%,65to74,65 to 74,0.3424564722904305
%all%,%all%,55to64,55 to 64,0.1626219134031512
%all%,%all%,45to54,45 to 54,0.1279171898876262
%all%,%all%,35to44,35 to 44,0.1124939089071568
%all%,%all%,25to34,25 to 34,0.0933956280889857
%all%,%all%,18to24,18 to 24,0.0451146817687723
%all%,%all%,%all%,%all%,0.1533878803286391
