Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.1664702193139775
STATEN ISLAND,Staten Island,F,Female,0.1953907610959418
QUEENS,Queens,M,Male,0.130719880468194
QUEENS,Queens,F,Female,0.1535674220986963
MANHATTAN,Manhattan,M,Male,0.184292169612093
MANHATTAN,Manhattan,F,Female,0.2179866292441595
BROOKLYN,Brooklyn,M,Male,0.1096889756786631
BROOKLYN,Brooklyn,F,Female,0.1300036804146591
THE BRONX,Bronx,M,Male,0.1434435274665362
THE BRONX,Bronx,F,Female,0.1601881849961964
%all%,%all%,M,Male,0.139743018082494
%all%,%all%,F,Female,0.1632760499340233
