Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2517824487836102
Latino,Latino,STATEN ISLAND,Staten Island,0.1424675259295903
Black,Black,STATEN ISLAND,Staten Island,0.1375478714599471
Asian,Asian,STATEN ISLAND,Staten Island,0.2791981097591425
White,White,QUEENS,Queens,0.2260244720927207
Latino,Latino,QUEENS,Queens,0.1458780165799631
Black,Black,QUEENS,Queens,0.1331996715252475
Asian,Asian,QUEENS,Queens,0.2752831772729488
White,White,MANHATTAN,Manhattan,0.3147192628867005
Latino,Latino,MANHATTAN,Manhattan,0.1892169492476194
Black,Black,MANHATTAN,Manhattan,0.1757913468965796
Asian,Asian,MANHATTAN,Manhattan,0.2464176854906153
White,White,BROOKLYN,Brooklyn,0.2084655172529827
Latino,Latino,BROOKLYN,Brooklyn,0.1339396136354535
Black,Black,BROOKLYN,Brooklyn,0.1285661896975398
Asian,Asian,BROOKLYN,Brooklyn,0.2414389821962179
White,White,THE BRONX,Bronx,0.2494751321977858
Latino,Latino,THE BRONX,Bronx,0.1347519507851648
Black,Black,THE BRONX,Bronx,0.1422523566430379
Asian,Asian,THE BRONX,Bronx,0.2498615376278757
White,White,%all%,%all%,0.2512281471428159
Latino,Latino,%all%,%all%,0.1476367437016286
Black,Black,%all%,%all%,0.1382445958166818
Asian,Asian,%all%,%all%,0.2606517097826382
