Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,76,76
2020-12-15,12/15,2110,2110
2020-12-16,12/16,6618,6618
2020-12-17,12/17,11104,11104
2020-12-18,12/18,16863,16863
2020-12-19,12/19,18548,18548
2020-12-20,12/20,19646,19646
2020-12-21,12/21,25911,25911
2020-12-22,12/22,35625,35625
2020-12-23,12/23,49839,49839
2020-12-24,12/24,57072,57072
2020-12-25,12/25,57251,57251
2020-12-26,12/26,61599,61599
2020-12-27,12/27,65431,65431
2020-12-28,12/28,76376,76376
2020-12-29,12/29,87050,87050
2020-12-30,12/30,99847,99847
2020-12-31,12/31,107073,107073
2021-01-01,1/1,107234,107234
2021-01-02,1/2,111035,111035
2021-01-03,1/3,114573,114573
2021-01-04,1/4,127521,127521
2021-01-05,1/5,143484,143484
2021-01-06,1/6,164882,164882
2021-01-07,1/7,186292,186292
2021-01-08,1/8,208014,208014
2021-01-09,1/9,217063,217063
2021-01-10,1/10,225831,225831
2021-01-11,1/11,258679,258679
2021-01-12,1/12,294297,294297
2021-01-13,1/13,335014,335014
2021-01-14,1/14,375716,375716
2021-01-15,1/15,408005,408005
2021-01-16,1/16,440293,440293
2021-01-17,1/17,465527,465527
2021-01-18,1/18,494588,494588
2021-01-19,1/19,536836,536836
2021-01-20,1/20,581605,581605
2021-01-21,1/21,614653,614653
2021-01-22,1/22,643119,643119
2021-01-23,1/23,661604,661604
2021-01-24,1/24,671943,671943
2021-01-25,1/25,695960,695960
2021-01-26,1/26,722811,722811
2021-01-27,1/27,755251,755251
2021-01-28,1/28,797063,797063
2021-01-29,1/29,839600,839600
2021-01-30,1/30,861512,861512
2021-01-31,1/31,877093,877093
2021-02-01,2/1,883391,883391
2021-02-02,2/2,895204,895204
2021-02-03,2/3,931472,931472
2021-02-04,2/4,976873,976873
2021-02-05,2/5,1023071,1023071
2021-02-06,2/6,1056409,1056409
2021-02-07,2/7,1076283,1076283
2021-02-08,2/8,1115720,1115720
2021-02-09,2/9,1160172,1160172
2021-02-10,2/10,1207956,1207956
2021-02-11,2/11,1267767,1267767
2021-02-12,2/12,1334637,1334637
2021-02-13,2/13,1386417,1386417
2021-02-14,2/14,1425604,1425604
2021-02-15,2/15,1447888,1447888
2021-02-16,2/16,1487745,1487745
2021-02-17,2/17,1525051,1525051
2021-02-18,2/18,1560715,1560715
2021-02-19,2/19,1596700,1596700
2021-02-20,2/20,1632605,1632605
2021-02-21,2/21,1655928,1655928
2021-02-22,2/22,1679857,1679857
2021-02-23,2/23,1718310,1718310
2021-02-24,2/24,1772848,1772848
2021-02-25,2/25,1855610,1855610
2021-02-26,2/26,1947684,1947684
2021-02-27,2/27,2020158,2020158
2021-02-28,2/28,2077488,2077488
2021-03-01,3/1,2127976,2127976
2021-03-02,3/2,2186182,2186182
2021-03-03,3/3,2249291,2249291
2021-03-04,3/4,2330643,2330643
2021-03-05,3/5,2415896,2415896
2021-03-06,3/6,2485519,2485519
2021-03-07,3/7,2541473,2541473
2021-03-08,3/8,2603019,2603019
2021-03-09,3/9,2660895,2660895
2021-03-10,3/10,2730754,2730754
2021-03-11,3/11,2813508,2813508
2021-03-12,3/12,2896069,2896069
2021-03-13,3/13,2965291,2965291
2021-03-14,3/14,3014371,3014371
2021-03-15,3/15,3067959,3067959
2021-03-16,3/16,3129685,3129685
2021-03-17,3/17,3199274,3199274
2021-03-18,3/18,3279614,3279614
2021-03-19,3/19,3358625,3358625
2021-03-20,3/20,3424081,3424081
2021-03-21,3/21,3471918,3471918
2021-03-22,3/22,3530745,3530745
2021-03-23,3/23,3599754,3599754
2021-03-24,3/24,3677773,3677773
2021-03-25,3/25,3769445,3769445
2021-03-26,3/26,3859164,3859164
2021-03-27,3/27,3935795,3935795
2021-03-28,3/28,3981484,3981484
2021-03-29,3/29,4024503,4024503
2021-03-30,3/30,4058854,4058854
