Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,99269,85418,0.478692246872962
STATEN ISLAND,Staten Island,F,Female,113295,98625,0.5064763933212588
QUEENS,Queens,M,Male,553736,460125,0.5264365799046666
QUEENS,Queens,F,Female,620396,520993,0.5512439847145244
MANHATTAN,Manhattan,M,Male,443470,387833,0.5978585291395878
MANHATTAN,Manhattan,F,Female,509317,448184,0.6097329445685566
BROOKLYN,Brooklyn,M,Male,492290,409620,0.4461713972522563
BROOKLYN,Brooklyn,F,Female,580542,489385,0.4587573901612162
THE BRONX,Bronx,M,Male,250055,205736,0.4206014047866499
THE BRONX,Bronx,F,Female,304657,253421,0.4349624989812609
%all%,%all%,M,Male,1838820,1548732,0.4982399750469338
%all%,%all%,F,Female,2128207,1810608,0.5137512724682364
