Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5560,4761,0.4807634050287792
STATEN ISLAND,Staten Island,75to84,75 to 84,16389,14173,0.623290382162804
STATEN ISLAND,Staten Island,65to74,65 to 74,35112,29958,0.6420626245740372
STATEN ISLAND,Staten Island,55to64,55 to 64,41274,31249,0.4725389384545592
STATEN ISLAND,Staten Island,45to54,45 to 54,31650,21592,0.3364707348999564
STATEN ISLAND,Staten Island,35to44,35 to 44,24583,15840,0.2676851319836415
STATEN ISLAND,Staten Island,25to34,25 to 34,20916,12730,0.1966964878938179
STATEN ISLAND,Staten Island,18to24,18 to 24,11390,5215,0.131452721729036
STATEN ISLAND,Staten Island,%all%,%all%,186874,135518,0.3631554124118315
QUEENS,Queens,85andUp,85+,26076,21728,0.4208797598750516
QUEENS,Queens,75to84,75 to 84,69313,57987,0.5283752610584338
QUEENS,Queens,65to74,65 to 74,147953,121953,0.5842746202898418
QUEENS,Queens,55to64,55 to 64,192264,135953,0.4504984342714018
QUEENS,Queens,45to54,45 to 54,167790,104993,0.3482981368542729
QUEENS,Queens,35to44,35 to 44,155351,91309,0.2958725521345253
QUEENS,Queens,25to34,25 to 34,149895,83359,0.2299570448479394
QUEENS,Queens,18to24,18 to 24,58771,24884,0.1424172279115258
QUEENS,Queens,%all%,%all%,967413,642166,0.3530015330534031
MANHATTAN,Manhattan,85andUp,85+,23922,21047,0.52847885948568
MANHATTAN,Manhattan,75to84,75 to 84,62796,56387,0.6584337480829194
MANHATTAN,Manhattan,65to74,65 to 74,112997,100315,0.6786894827230624
MANHATTAN,Manhattan,55to64,55 to 64,126814,97844,0.5380657689666444
MANHATTAN,Manhattan,45to54,45 to 54,119133,80471,0.416587237012419
MANHATTAN,Manhattan,35to44,35 to 44,132359,81479,0.3512832236128769
MANHATTAN,Manhattan,25to34,25 to 34,195019,109043,0.3032869293292589
MANHATTAN,Manhattan,18to24,18 to 24,68025,30813,0.2139979542054816
MANHATTAN,Manhattan,%all%,%all%,841065,577399,0.4172701871421336
BROOKLYN,Brooklyn,85andUp,85+,21158,16959,0.3326598666143586
BROOKLYN,Brooklyn,75to84,75 to 84,59228,48238,0.4522552760615408
BROOKLYN,Brooklyn,65to74,65 to 74,129252,104629,0.4976574725436756
BROOKLYN,Brooklyn,55to64,55 to 64,151311,106295,0.3720055295991041
BROOKLYN,Brooklyn,45to54,45 to 54,139949,88225,0.2986972095637277
BROOKLYN,Brooklyn,35to44,35 to 44,159495,93417,0.2609515455911684
BROOKLYN,Brooklyn,25to34,25 to 34,191316,103228,0.2196148846589979
BROOKLYN,Brooklyn,18to24,18 to 24,54409,22904,0.1102066315386224
BROOKLYN,Brooklyn,%all%,%all%,906118,583895,0.294177396456017
THE BRONX,Bronx,85andUp,85+,12175,10303,0.3872699574025487
THE BRONX,Bronx,75to84,75 to 84,35502,30179,0.5213105136750672
THE BRONX,Bronx,65to74,65 to 74,74618,62293,0.5912361699858
THE BRONX,Bronx,55to64,55 to 64,102339,77088,0.471682519389441
THE BRONX,Bronx,45to54,45 to 54,83733,57927,0.3330362768408245
THE BRONX,Bronx,35to44,35 to 44,65469,42409,0.2366705368264242
THE BRONX,Bronx,25to34,25 to 34,52962,32906,0.1450220380195382
THE BRONX,Bronx,18to24,18 to 24,25702,12489,0.0902009168648222
THE BRONX,Bronx,%all%,%all%,452500,325594,0.3037896666152792
%all%,%all%,85andUp,85+,88891,74798,0.4180107076193989
%all%,%all%,75to84,75 to 84,243228,206964,0.5408355011514546
%all%,%all%,65to74,65 to 74,499932,419148,0.5831259260289792
%all%,%all%,55to64,55 to 64,614002,448429,0.4489118420497866
%all%,%all%,45to54,45 to 54,542255,353208,0.3435584731642361
%all%,%all%,35to44,35 to 44,537257,324454,0.285383312252728
%all%,%all%,25to34,25 to 34,610108,341266,0.2300102648852631
%all%,%all%,18to24,18 to 24,218297,96305,0.1366666486660256
%all%,%all%,%all%,%all%,3353970,2264572,0.34142562863407
