Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3122506522574947
Latino,Latino,STATEN ISLAND,Staten Island,0.2050467195622141
Black,Black,STATEN ISLAND,Staten Island,0.1847369139413359
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4076647410591967
White,White,QUEENS,Queens,0.2993386116102097
Latino,Latino,QUEENS,Queens,0.2219356559283737
Black,Black,QUEENS,Queens,0.1786011543296004
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3880016613181862
White,White,MANHATTAN,Manhattan,0.4033494881760043
Latino,Latino,MANHATTAN,Manhattan,0.2596439952179822
Black,Black,MANHATTAN,Manhattan,0.2319339450165948
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3626781275999819
White,White,BROOKLYN,Brooklyn,0.2799006717476178
Latino,Latino,BROOKLYN,Brooklyn,0.1953061152684432
Black,Black,BROOKLYN,Brooklyn,0.1743549843251442
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3604325026369344
White,White,THE BRONX,Bronx,0.3200466070729291
Latino,Latino,THE BRONX,Bronx,0.1927688314302339
Black,Black,THE BRONX,Bronx,0.1916502664252615
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3388781089815182
White,White,%all%,%all%,0.327145091410092
Latino,Latino,%all%,%all%,0.2134797445346939
Black,Black,%all%,%all%,0.185955803537072
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3751496034386148
