Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3554959445311977
Latino,Latino,STATEN ISLAND,Staten Island,0.2673571154583813
Black,Black,STATEN ISLAND,Staten Island,0.2426310959915848
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5822928268558142
White,White,QUEENS,Queens,0.3882045603371682
Latino,Latino,QUEENS,Queens,0.3480998477433315
Black,Black,QUEENS,Queens,0.2475545129418944
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5937231095664742
White,White,MANHATTAN,Manhattan,0.5460095866418124
Latino,Latino,MANHATTAN,Manhattan,0.3632477867095213
Black,Black,MANHATTAN,Manhattan,0.3261479667091039
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.639095483375763
White,White,BROOKLYN,Brooklyn,0.3535549917770497
Latino,Latino,BROOKLYN,Brooklyn,0.289179393771489
Black,Black,BROOKLYN,Brooklyn,0.2440095395108766
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5902411578075426
White,White,THE BRONX,Bronx,0.3875257493077267
Latino,Latino,THE BRONX,Bronx,0.2513925354038646
Black,Black,THE BRONX,Bronx,0.2408736155283819
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4564857048250294
White,White,%all%,%all%,0.417542140570982
Latino,Latino,%all%,%all%,0.3038112882129403
Black,Black,%all%,%all%,0.2530550188186531
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5933625800677992
