Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.1975493271303691
Latino,Latino,STATEN ISLAND,Staten Island,0.0952564090721661
Black,Black,STATEN ISLAND,Staten Island,0.0977721233494516
Asian,Asian,STATEN ISLAND,Staten Island,0.1931234470642876
White,White,QUEENS,Queens,0.1692586390503527
Latino,Latino,QUEENS,Queens,0.0932744760571278
Black,Black,QUEENS,Queens,0.0949969442255303
Asian,Asian,QUEENS,Queens,0.1857668526482468
White,White,MANHATTAN,Manhattan,0.2490020193575659
Latino,Latino,MANHATTAN,Manhattan,0.1315176095780424
Black,Black,MANHATTAN,Manhattan,0.1274912315593775
Asian,Asian,MANHATTAN,Manhattan,0.1709656242685933
White,White,BROOKLYN,Brooklyn,0.1539758029838017
Latino,Latino,BROOKLYN,Brooklyn,0.086710767168498
Black,Black,BROOKLYN,Brooklyn,0.0912236630090806
Asian,Asian,BROOKLYN,Brooklyn,0.1559098840202098
White,White,THE BRONX,Bronx,0.2054921732546777
Latino,Latino,THE BRONX,Bronx,0.0947979702151077
Black,Black,THE BRONX,Bronx,0.1055949700681804
Asian,Asian,THE BRONX,Bronx,0.1870210520075834
White,White,%all%,%all%,0.1933502235894586
Latino,Latino,%all%,%all%,0.0994462482668916
Black,Black,%all%,%all%,0.0995398533648593
Asian,Asian,%all%,%all%,0.1759757661826705
