Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.199338350479656
STATEN ISLAND,Staten Island,F,Female,0.2294331642526123
QUEENS,Queens,M,Male,0.1662938931364381
QUEENS,Queens,F,Female,0.1912366198495423
MANHATTAN,Manhattan,M,Male,0.2227211204051425
MANHATTAN,Manhattan,F,Female,0.2564343711235037
BROOKLYN,Brooklyn,M,Male,0.1388814946419894
BROOKLYN,Brooklyn,F,Female,0.1609965323277952
THE BRONX,Bronx,M,Male,0.1609679045411909
THE BRONX,Bronx,F,Female,0.1794715264558799
%all%,%all%,M,Male,0.1710323696120451
%all%,%all%,F,Female,0.195846874107647
