Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3276769442809254
Latino,Latino,STATEN ISLAND,Staten Island,0.2350910444730251
Black,Black,STATEN ISLAND,Staten Island,0.2114097714912379
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5200382984543838
White,White,QUEENS,Queens,0.3549902770245382
Latino,Latino,QUEENS,Queens,0.3027635677230043
Black,Black,QUEENS,Queens,0.219473352033502
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5246198776909312
White,White,MANHATTAN,Manhattan,0.5035801881311122
Latino,Latino,MANHATTAN,Manhattan,0.3309110939065847
Black,Black,MANHATTAN,Manhattan,0.2910704394829395
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5679501384762838
White,White,BROOKLYN,Brooklyn,0.3236102789003769
Latino,Latino,BROOKLYN,Brooklyn,0.2546833747175296
Black,Black,BROOKLYN,Brooklyn,0.216072024884766
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5106637700639234
White,White,THE BRONX,Bronx,0.3519047587215352
Latino,Latino,THE BRONX,Bronx,0.2221456516190889
Black,Black,THE BRONX,Bronx,0.2142507166730302
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4018351568395484
White,White,%all%,%all%,0.383303952011502
Latino,Latino,%all%,%all%,0.2686489876588037
Black,Black,%all%,%all%,0.2245197847794559
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5221701271519612
