Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3059526033606988
Latino,Latino,STATEN ISLAND,Staten Island,0.2011552607233918
Black,Black,STATEN ISLAND,Staten Island,0.1828965332020322
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.458702151357055
White,White,QUEENS,Queens,0.3240421341342305
Latino,Latino,QUEENS,Queens,0.2436907301237763
Black,Black,QUEENS,Queens,0.1909274332355107
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4497002951056176
White,White,MANHATTAN,Manhattan,0.4700295365454542
Latino,Latino,MANHATTAN,Manhattan,0.2831795952723008
Black,Black,MANHATTAN,Manhattan,0.2562980647326446
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.4995652309871632
White,White,BROOKLYN,Brooklyn,0.2941585180841163
Latino,Latino,BROOKLYN,Brooklyn,0.2071249733811061
Black,Black,BROOKLYN,Brooklyn,0.1854354176691304
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4254286294797056
White,White,THE BRONX,Bronx,0.326144195886994
Latino,Latino,THE BRONX,Bronx,0.1854923394991277
Black,Black,THE BRONX,Bronx,0.1873145786757284
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3505161173067516
White,White,%all%,%all%,0.3533622224807381
Latino,Latino,%all%,%all%,0.2221497860611737
Black,Black,%all%,%all%,0.1947851080703323
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4473218324278841
