Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5858,5236,0.5287286680803798
STATEN ISLAND,Staten Island,75to84,75 to 84,16952,15357,0.675359514490523
STATEN ISLAND,Staten Island,65to74,65 to 74,36389,32861,0.704279988855312
STATEN ISLAND,Staten Island,55to64,55 to 64,44033,37655,0.5694087403598972
STATEN ISLAND,Staten Island,45to54,45 to 54,34682,28332,0.4415009661534626
STATEN ISLAND,Staten Island,35to44,35 to 44,27430,21681,0.3663940244026093
STATEN ISLAND,Staten Island,25to34,25 to 34,23641,18135,0.280211375330274
STATEN ISLAND,Staten Island,18to24,18 to 24,13797,9338,0.235379772867831
STATEN ISLAND,Staten Island,<18,<18,2622,1562,0.0151687388172564
STATEN ISLAND,Staten Island,%all%,%all%,205404,170157,0.3573653293233333
QUEENS,Queens,85andUp,85+,28251,24658,0.4776349925901612
QUEENS,Queens,75to84,75 to 84,73791,65276,0.5947923420913364
QUEENS,Queens,65to74,65 to 74,158200,138913,0.6655296739590072
QUEENS,Queens,55to64,55 to 64,215127,174336,0.5776856342790458
QUEENS,Queens,45to54,45 to 54,195665,148380,0.4922278394410772
QUEENS,Queens,35to44,35 to 44,185217,135826,0.4401229371280381
QUEENS,Queens,25to34,25 to 34,180820,128774,0.3552404478610413
QUEENS,Queens,18to24,18 to 24,77513,46151,0.2641334787552173
QUEENS,Queens,<18,<18,14703,6555,0.0145935513426318
QUEENS,Queens,%all%,%all%,1129287,868869,0.3830434328441887
MANHATTAN,Manhattan,85andUp,85+,24916,22603,0.5675491833018874
MANHATTAN,Manhattan,75to84,75 to 84,64658,59833,0.6986728580886608
MANHATTAN,Manhattan,65to74,65 to 74,116974,107691,0.7285924247014834
MANHATTAN,Manhattan,55to64,55 to 64,135922,117385,0.645526044419173
MANHATTAN,Manhattan,45to54,45 to 54,130635,108680,0.5626213284103552
MANHATTAN,Manhattan,35to44,35 to 44,147300,119904,0.5169462517222646
MANHATTAN,Manhattan,25to34,25 to 34,218995,172162,0.4788430649118594
MANHATTAN,Manhattan,18to24,18 to 24,80204,55793,0.3874854074249971
MANHATTAN,Manhattan,<18,<18,10062,6274,0.0275578085464932
MANHATTAN,Manhattan,%all%,%all%,929666,770325,0.47804105523794
BROOKLYN,Brooklyn,85andUp,85+,22702,19118,0.3750098077677521
BROOKLYN,Brooklyn,75to84,75 to 84,63035,54374,0.5097833322395252
BROOKLYN,Brooklyn,65to74,65 to 74,137804,118746,0.5648035844237382
BROOKLYN,Brooklyn,55to64,55 to 64,167663,134109,0.4693474723082576
BROOKLYN,Brooklyn,45to54,45 to 54,159125,121901,0.4127116865177441
BROOKLYN,Brooklyn,35to44,35 to 44,181708,139269,0.3890347667227211
BROOKLYN,Brooklyn,25to34,25 to 34,218129,163985,0.3488738216453458
BROOKLYN,Brooklyn,18to24,18 to 24,69206,41918,0.2016958426840714
BROOKLYN,Brooklyn,<18,<18,10714,5223,0.0090824797230331
BROOKLYN,Brooklyn,%all%,%all%,1030086,798643,0.3119817430582331
THE BRONX,Bronx,85andUp,85+,13179,11445,0.4301955413444793
THE BRONX,Bronx,75to84,75 to 84,37559,33323,0.575619810039904
THE BRONX,Bronx,65to74,65 to 74,79450,69754,0.662050114799247
THE BRONX,Bronx,55to64,55 to 64,113017,93049,0.5693439542687332
THE BRONX,Bronx,45to54,45 to 54,95942,74278,0.4270421145783963
THE BRONX,Bronx,35to44,35 to 44,77728,57061,0.3184384800832981
THE BRONX,Bronx,25to34,25 to 34,64006,45346,0.1998471201614897
THE BRONX,Bronx,18to24,18 to 24,33790,20130,0.1453874975169245
THE BRONX,Bronx,<18,<18,5736,2494,0.0071410951570027
THE BRONX,Bronx,%all%,%all%,520407,406880,0.2863294186601437
%all%,%all%,85andUp,85+,94906,83060,0.4641831248812438
%all%,%all%,75to84,75 to 84,255995,228163,0.5962324387295344
%all%,%all%,65to74,65 to 74,528817,467965,0.651040978303967
%all%,%all%,55to64,55 to 64,675762,556534,0.557133243174139
%all%,%all%,45to54,45 to 54,616049,481571,0.4684146380607868
%all%,%all%,35to44,35 to 44,619383,473741,0.4166932006691847
%all%,%all%,25to34,25 to 34,705591,528402,0.3561382733290243
%all%,%all%,18to24,18 to 24,274510,173330,0.2459730046548176
%all%,%all%,<18,<18,43837,22108,0.0129732482319144
%all%,%all%,%all%,%all%,3814850,3014874,0.3616337026469455
