Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6625,6625
2020-12-17,12/17,11118,11118
2020-12-18,12/18,16904,16904
2020-12-19,12/19,18589,18589
2020-12-20,12/20,19693,19693
2020-12-21,12/21,25965,25965
2020-12-22,12/22,35681,35681
2020-12-23,12/23,49906,49906
2020-12-24,12/24,57142,57142
2020-12-25,12/25,57321,57321
2020-12-26,12/26,61669,61669
2020-12-27,12/27,65506,65506
2020-12-28,12/28,76451,76451
2020-12-29,12/29,87124,87124
2020-12-30,12/30,99919,99919
2020-12-31,12/31,107152,107152
2021-01-01,1/1,107316,107316
2021-01-02,1/2,111121,111121
2021-01-03,1/3,114662,114662
2021-01-04,1/4,127625,127625
2021-01-05,1/5,143645,143645
2021-01-06,1/6,165146,165146
2021-01-07,1/7,186581,186581
2021-01-08,1/8,208374,208374
2021-01-09,1/9,217459,217459
2021-01-10,1/10,226236,226236
2021-01-11,1/11,259140,259140
2021-01-12,1/12,294761,294761
2021-01-13,1/13,335557,335557
2021-01-14,1/14,376269,376269
2021-01-15,1/15,408626,408626
2021-01-16,1/16,440916,440916
2021-01-17,1/17,466199,466199
2021-01-18,1/18,495276,495276
2021-01-19,1/19,538488,538488
2021-01-20,1/20,582329,582329
2021-01-21,1/21,615386,615386
2021-01-22,1/22,643880,643880
2021-01-23,1/23,662371,662371
2021-01-24,1/24,672711,672711
2021-01-25,1/25,696723,696723
2021-01-26,1/26,723581,723581
2021-01-27,1/27,756041,756041
2021-01-28,1/28,797864,797864
2021-01-29,1/29,840443,840443
2021-01-30,1/30,862378,862378
2021-01-31,1/31,877988,877988
2021-02-01,2/1,884313,884313
2021-02-02,2/2,896262,896262
2021-02-03,2/3,932836,932836
2021-02-04,2/4,978639,978639
2021-02-05,2/5,1025201,1025201
2021-02-06,2/6,1058859,1058859
2021-02-07,2/7,1078870,1078870
2021-02-08,2/8,1118487,1118487
2021-02-09,2/9,1163081,1163081
2021-02-10,2/10,1210920,1210920
2021-02-11,2/11,1271268,1271268
2021-02-12,2/12,1339079,1339079
2021-02-13,2/13,1391243,1391243
2021-02-14,2/14,1430680,1430680
2021-02-15,2/15,1453188,1453188
2021-02-16,2/16,1493149,1493149
2021-02-17,2/17,1530556,1530556
2021-02-18,2/18,1566541,1566541
2021-02-19,2/19,1602889,1602889
2021-02-20,2/20,1639828,1639828
2021-02-21,2/21,1663426,1663426
2021-02-22,2/22,1687588,1687588
2021-02-23,2/23,1726153,1726153
2021-02-24,2/24,1781729,1781729
2021-02-25,2/25,1865240,1865240
2021-02-26,2/26,1958324,1958324
2021-02-27,2/27,2031398,2031398
2021-02-28,2/28,2089258,2089258
2021-03-01,3/1,2139877,2139877
2021-03-02,3/2,2198072,2198072
2021-03-03,3/3,2261321,2261321
2021-03-04,3/4,2343233,2343233
2021-03-05,3/5,2429344,2429344
2021-03-06,3/6,2499514,2499514
2021-03-07,3/7,2555811,2555811
2021-03-08,3/8,2617489,2617489
2021-03-09,3/9,2675561,2675561
2021-03-10,3/10,2745718,2745718
2021-03-11,3/11,2829541,2829541
2021-03-12,3/12,2913635,2913635
2021-03-13,3/13,2984654,2984654
2021-03-14,3/14,3034458,3034458
2021-03-15,3/15,3088305,3088305
2021-03-16,3/16,3150265,3150265
2021-03-17,3/17,3220038,3220038
2021-03-18,3/18,3300632,3300632
2021-03-19,3/19,3381511,3381511
2021-03-20,3/20,3448433,3448433
2021-03-21,3/21,3496542,3496542
2021-03-22,3/22,3559314,3559314
2021-03-23,3/23,3632646,3632646
2021-03-24,3/24,3714233,3714233
2021-03-25,3/25,3810246,3810246
2021-03-26,3/26,3905328,3905328
2021-03-27,3/27,3986882,3986882
2021-03-28,3/28,4047161,4047161
2021-03-29,3/29,4121533,4121533
2021-03-30,3/30,4204823,4204823
2021-03-31,3/31,4303292,4303292
2021-04-01,4/1,4415249,4415249
2021-04-02,4/2,4521493,4521493
2021-04-03,4/3,4606294,4606294
2021-04-04,4/4,4657956,4657956
2021-04-05,4/5,4741262,4741262
2021-04-06,4/6,4836867,4836867
2021-04-07,4/7,4939077,4939077
2021-04-08,4/8,5053236,5053236
2021-04-09,4/9,5165669,5165669
2021-04-10,4/10,5258511,5258511
2021-04-11,4/11,5320983,5320983
2021-04-12,4/12,5398350,5398350
2021-04-13,4/13,5472550,5472550
2021-04-14,4/14,5552177,5552177
2021-04-15,4/15,5637678,5637678
2021-04-16,4/16,5721453,5721453
2021-04-17,4/17,5786771,5786771
2021-04-18,4/18,5822037,5822037
2021-04-19,4/19,5865477,5865477
2021-04-20,4/20,5914043,5914043
2021-04-21,4/21,5966539,5966539
2021-04-22,4/22,6004406,6004406
