Measure Names-value,Measure Names-alias,Measure Values-alias
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_1219631089837469696:qk],Doses Administered by Federal and NY State-run Programs in NYC,"1,975,191"
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_99923633580093443:qk],Doses Administered by NYC-run Programs,"4,834,260"
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_1027665143044644866:qk],Total Doses Administered,"6,809,451"
