Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.3604342240497485
STATEN ISLAND,Staten Island,F,Female,0.3964766534485961
QUEENS,Queens,M,Male,0.3317308430545146
QUEENS,Queens,F,Female,0.3667440589293503
MANHATTAN,Manhattan,M,Male,0.4084438354196162
MANHATTAN,Manhattan,F,Female,0.438869661392007
BROOKLYN,Brooklyn,M,Male,0.2863733718221338
BROOKLYN,Brooklyn,F,Female,0.3145199833098908
THE BRONX,Bronx,M,Male,0.2882976732463612
THE BRONX,Bronx,F,Female,0.3130114551545198
%all%,%all%,M,Male,0.3291568361660994
%all%,%all%,F,Female,0.3587393005735442
