Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6626,6626
2020-12-17,12/17,11119,11119
2020-12-18,12/18,16905,16905
2020-12-19,12/19,18590,18590
2020-12-20,12/20,19694,19694
2020-12-21,12/21,25965,25965
2020-12-22,12/22,35717,35717
2020-12-23,12/23,49962,49962
2020-12-24,12/24,57198,57198
2020-12-25,12/25,57377,57377
2020-12-26,12/26,61725,61725
2020-12-27,12/27,65562,65562
2020-12-28,12/28,76510,76510
2020-12-29,12/29,87183,87183
2020-12-30,12/30,99978,99978
2020-12-31,12/31,107210,107210
2021-01-01,1/1,107374,107374
2021-01-02,1/2,111179,111179
2021-01-03,1/3,114720,114720
2021-01-04,1/4,127684,127684
2021-01-05,1/5,143704,143704
2021-01-06,1/6,165202,165202
2021-01-07,1/7,186638,186638
2021-01-08,1/8,208441,208441
2021-01-09,1/9,217528,217528
2021-01-10,1/10,226304,226304
2021-01-11,1/11,259210,259210
2021-01-12,1/12,294830,294830
2021-01-13,1/13,335628,335628
2021-01-14,1/14,376340,376340
2021-01-15,1/15,408695,408695
2021-01-16,1/16,440988,440988
2021-01-17,1/17,466271,466271
2021-01-18,1/18,495346,495346
2021-01-19,1/19,538558,538558
2021-01-20,1/20,582399,582399
2021-01-21,1/21,615452,615452
2021-01-22,1/22,643948,643948
2021-01-23,1/23,662438,662438
2021-01-24,1/24,672777,672777
2021-01-25,1/25,696788,696788
2021-01-26,1/26,723664,723664
2021-01-27,1/27,756128,756128
2021-01-28,1/28,797952,797952
2021-01-29,1/29,840537,840537
2021-01-30,1/30,862476,862476
2021-01-31,1/31,878087,878087
2021-02-01,2/1,884418,884418
2021-02-02,2/2,896366,896366
2021-02-03,2/3,932945,932945
2021-02-04,2/4,978754,978754
2021-02-05,2/5,1025325,1025325
2021-02-06,2/6,1058991,1058991
2021-02-07,2/7,1079003,1079003
2021-02-08,2/8,1118624,1118624
2021-02-09,2/9,1163224,1163224
2021-02-10,2/10,1211072,1211072
2021-02-11,2/11,1271438,1271438
2021-02-12,2/12,1339257,1339257
2021-02-13,2/13,1391534,1391534
2021-02-14,2/14,1431075,1431075
2021-02-15,2/15,1453749,1453749
2021-02-16,2/16,1493868,1493868
2021-02-17,2/17,1531401,1531401
2021-02-18,2/18,1567542,1567542
2021-02-19,2/19,1604026,1604026
2021-02-20,2/20,1640954,1640954
2021-02-21,2/21,1664544,1664544
2021-02-22,2/22,1688718,1688718
2021-02-23,2/23,1727293,1727293
2021-02-24,2/24,1782883,1782883
2021-02-25,2/25,1866401,1866401
2021-02-26,2/26,1959498,1959498
2021-02-27,2/27,2032645,2032645
2021-02-28,2/28,2090492,2090492
2021-03-01,3/1,2141149,2141149
2021-03-02,3/2,2199359,2199359
2021-03-03,3/3,2262696,2262696
2021-03-04,3/4,2344726,2344726
2021-03-05,3/5,2431166,2431166
2021-03-06,3/6,2501595,2501595
2021-03-07,3/7,2558121,2558121
2021-03-08,3/8,2619896,2619896
2021-03-09,3/9,2677993,2677993
2021-03-10,3/10,2748201,2748201
2021-03-11,3/11,2832367,2832367
2021-03-12,3/12,2916733,2916733
2021-03-13,3/13,2987955,2987955
2021-03-14,3/14,3038023,3038023
2021-03-15,3/15,3091865,3091865
2021-03-16,3/16,3153821,3153821
2021-03-17,3/17,3223597,3223597
2021-03-18,3/18,3304353,3304353
2021-03-19,3/19,3385425,3385425
2021-03-20,3/20,3452718,3452718
2021-03-21,3/21,3501057,3501057
2021-03-22,3/22,3563801,3563801
2021-03-23,3/23,3637100,3637100
2021-03-24,3/24,3718733,3718733
2021-03-25,3/25,3815090,3815090
2021-03-26,3/26,3910341,3910341
2021-03-27,3/27,3992096,3992096
2021-03-28,3/28,4052431,4052431
2021-03-29,3/29,4126868,4126868
2021-03-30,3/30,4210976,4210976
2021-03-31,3/31,4310266,4310266
2021-04-01,4/1,4423640,4423640
2021-04-02,4/2,4530469,4530469
2021-04-03,4/3,4616335,4616335
2021-04-04,4/4,4668413,4668413
2021-04-05,4/5,4752169,4752169
2021-04-06,4/6,4849030,4849030
2021-04-07,4/7,4952886,4952886
2021-04-08,4/8,5068369,5068369
2021-04-09,4/9,5181680,5181680
2021-04-10,4/10,5275084,5275084
2021-04-11,4/11,5337999,5337999
2021-04-12,4/12,5416937,5416937
2021-04-13,4/13,5493615,5493615
2021-04-14,4/14,5576090,5576090
2021-04-15,4/15,5664234,5664234
2021-04-16,4/16,5749445,5749445
2021-04-17,4/17,5818479,5818479
2021-04-18,4/18,5857897,5857897
2021-04-19,4/19,5918737,5918737
2021-04-20,4/20,5984722,5984722
2021-04-21,4/21,6054753,6054753
2021-04-22,4/22,6127651,6127651
2021-04-23,4/23,6197466,6197466
2021-04-24,4/24,6257525,6257525
2021-04-25,4/25,6294666,6294666
2021-04-26,4/26,6341921,6341921
2021-04-27,4/27,6397028,6397028
2021-04-28,4/28,6454536,6454536
2021-04-29,4/29,6494704,6494704
