Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,335028,0.1055178715013119,0.1055178715013119
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4921,0.0015498807432751,0.0015498807432751
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,9353,0.0029457497646518,0.0029457497646518
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,424753,0.1337769752790715,0.1337769752790715
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,657673,0.2071356874765164,0.2071356874765164
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,672102,0.2116801356059039,0.2116801356059039
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1071253,0.3373936996292695,0.3373936996292695
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,62412,0.1078691301266873,0.1078691301266873
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,816,0.0014103251006758,0.0014103251006758
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1426,0.0024646122470143,0.0024646122470143
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,45372,0.0784182236125754,0.0784182236125754
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,68046,0.1176065953438532,0.1176065953438532
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,75947,0.1312622063983132,0.1312622063983132
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,324571,0.560968907170881,0.560968907170881
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,247547,0.1037692308659669,0.1037692308659669
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3902,0.0016356794420413,0.0016356794420413
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,6957,0.0029163049406154,0.0029163049406154
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,294765,0.1235625450367274,0.1235625450367274
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,512656,0.2149002767911675,0.2149002767911675
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,538630,0.2257883182641509,0.2257883182641509
18 to 64 years,18 to 64 years,White,White,NYC,NYC,781096,0.3274276446593306,0.3274276446593306
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,44953,0.1047389157740959,0.1047389157740959
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,674,0.0015703963969422,0.0015703963969422
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1064,0.0024790827393864,0.0024790827393864
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,36193,0.0843284225438092,0.0843284225438092
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,57529,0.1340405553704528,0.1340405553704528
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,62393,0.1453735050362193,0.1453735050362193
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,226385,0.5274691221390942,0.5274691221390942
65+ years,65+ years,Other,Other,NYC,NYC,84576,0.1101062188611057,0.1101062188611057
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,975,0.0012693147392828,0.0012693147392828
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2198,0.0028614910737882,0.0028614910737882
65+ years,65+ years,Black,Black,NYC,NYC,127655,0.1661891005570664,0.1661891005570664
65+ years,65+ years,Latino,Latino,NYC,NYC,140590,0.1830286760982176,0.1830286760982176
65+ years,65+ years,Asian,Asian,NYC,NYC,127370,0.1658180700948146,0.1658180700948146
65+ years,65+ years,White,White,NYC,NYC,284767,0.3707271285757247,0.3707271285757247
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,17145,0.1174878366340026,0.1174878366340026
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,135,0.0009251010758583,0.0009251010758583
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,352,0.0024121153977935,0.0024121153977935
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8994,0.0616322894538477,0.0616322894538477
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9970,0.0683204276022751,0.0683204276022751
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12978,0.0889330500925101,0.0889330500925101
65+ years,65+ years,White,White,Non- NYC,Non- NYC,96356,0.6602891797437128,0.6602891797437128
