Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2196544832229433
Latino,Latino,STATEN ISLAND,Staten Island,0.1121528012816174
Black,Black,STATEN ISLAND,Staten Island,0.1125981961012511
Asian,Asian,STATEN ISLAND,Staten Island,0.249015188633023
White,White,QUEENS,Queens,0.2064154489449163
Latino,Latino,QUEENS,Queens,0.1246426533325459
Black,Black,QUEENS,Queens,0.1166077545003463
Asian,Asian,QUEENS,Queens,0.249476813398974
White,White,MANHATTAN,Manhattan,0.2986601738524355
Latino,Latino,MANHATTAN,Manhattan,0.1654175441677555
Black,Black,MANHATTAN,Manhattan,0.1574686825478039
Asian,Asian,MANHATTAN,Manhattan,0.2437695411373115
White,White,BROOKLYN,Brooklyn,0.173381013696418
Latino,Latino,BROOKLYN,Brooklyn,0.1108214332232741
Black,Black,BROOKLYN,Brooklyn,0.1110835022731277
Asian,Asian,BROOKLYN,Brooklyn,0.2146168239530868
White,White,THE BRONX,Bronx,0.2237817046236259
Latino,Latino,THE BRONX,Bronx,0.1083402847501099
Black,Black,THE BRONX,Bronx,0.1175788041201971
Asian,Asian,THE BRONX,Bronx,0.2146225131750292
White,White,%all%,%all%,0.223349873376943
Latino,Latino,%all%,%all%,0.1228739184433011
Black,Black,%all%,%all%,0.1189009161770312
Asian,Asian,%all%,%all%,0.2378418327231528
