Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5641,4906,0.5696253660506918
STATEN ISLAND,Staten Island,75to84,75 to 84,16551,14552,0.727868419895334
STATEN ISLAND,Staten Island,65to74,65 to 74,35455,30884,0.7598748365802954
STATEN ISLAND,Staten Island,55to64,55 to 64,42034,33475,0.6356267957054288
STATEN ISLAND,Staten Island,45to54,45 to 54,32491,23523,0.5063111637474288
STATEN ISLAND,Staten Island,35to44,35 to 44,25362,17413,0.4286003988238078
STATEN ISLAND,Staten Island,25to34,25 to 34,21746,14056,0.3360064277878212
STATEN ISLAND,Staten Island,18to24,18 to 24,12098,5931,0.3049501490849239
STATEN ISLAND,Staten Island,%all%,%all%,191378,144740,0.5128466810058552
QUEENS,Queens,85andUp,85+,26922,22786,0.5214895478348738
QUEENS,Queens,75to84,75 to 84,71031,60586,0.6472316755176438
QUEENS,Queens,65to74,65 to 74,151833,127564,0.7274291605984892
QUEENS,Queens,55to64,55 to 64,201155,147746,0.666553974872668
QUEENS,Queens,45to54,45 to 54,178356,116363,0.5916686112100874
QUEENS,Queens,35to44,35 to 44,166533,101464,0.5396241742283772
QUEENS,Queens,25to34,25 to 34,161771,92643,0.446267122951283
QUEENS,Queens,18to24,18 to 24,66126,27681,0.3784552970936166
QUEENS,Queens,%all%,%all%,1023727,696833,0.5627473276818786
MANHATTAN,Manhattan,85andUp,85+,24284,21656,0.609758189943947
MANHATTAN,Manhattan,75to84,75 to 84,63456,57568,0.7409788057238322
MANHATTAN,Manhattan,65to74,65 to 74,114293,102763,0.7732588052521256
MANHATTAN,Manhattan,55to64,55 to 64,129959,105473,0.7146732479164398
MANHATTAN,Manhattan,45to54,45 to 54,123295,90419,0.638281162001792
MANHATTAN,Manhattan,35to44,35 to 44,138075,93460,0.595287510896648
MANHATTAN,Manhattan,25to34,25 to 34,204684,125510,0.569298183678274
MANHATTAN,Manhattan,18to24,18 to 24,72840,35766,0.505877745897098
MANHATTAN,Manhattan,%all%,%all%,870886,632615,0.6293650737175924
BROOKLYN,Brooklyn,85andUp,85+,21763,17744,0.4268928991761476
BROOKLYN,Brooklyn,75to84,75 to 84,60521,50268,0.5674145188963164
BROOKLYN,Brooklyn,65to74,65 to 74,131921,109021,0.6274691666309936
BROOKLYN,Brooklyn,55to64,55 to 64,156628,114484,0.548158258526257
BROOKLYN,Brooklyn,45to54,45 to 54,146466,97152,0.4958796882511868
BROOKLYN,Brooklyn,35to44,35 to 44,167540,104764,0.468007128770399
BROOKLYN,Brooklyn,25to34,25 to 34,201999,116207,0.4297476177610039
BROOKLYN,Brooklyn,18to24,18 to 24,59991,25720,0.2886572665313261
BROOKLYN,Brooklyn,%all%,%all%,946829,635360,0.4770304423039314
THE BRONX,Bronx,85andUp,85+,12565,10748,0.4722941875922572
THE BRONX,Bronx,75to84,75 to 84,36164,31257,0.6246950997894274
THE BRONX,Bronx,65to74,65 to 74,76206,64604,0.7232874250708407
THE BRONX,Bronx,55to64,55 to 64,105775,82181,0.6472112194948386
THE BRONX,Bronx,45to54,45 to 54,87496,62385,0.5030355806181018
THE BRONX,Bronx,35to44,35 to 44,69230,45716,0.3863496254213337
THE BRONX,Bronx,25to34,25 to 34,56357,35509,0.2483743693146269
THE BRONX,Bronx,18to24,18 to 24,28110,13774,0.203022481629446
THE BRONX,Bronx,%all%,%all%,471903,346174,0.4403006659973774
%all%,%all%,85andUp,85+,91175,77840,0.5095340285462004
%all%,%all%,75to84,75 to 84,247723,214231,0.6473463638687976
%all%,%all%,65to74,65 to 74,509708,434836,0.7091145597840832
%all%,%all%,55to64,55 to 64,635551,483359,0.6362353240459112
%all%,%all%,45to54,45 to 54,568104,389842,0.5525835848522548
%all%,%all%,35to44,35 to 44,566740,362817,0.498493279127738
%all%,%all%,25to34,25 to 34,646557,383925,0.4357736980344396
%all%,%all%,18to24,18 to 24,239165,108872,0.3393996057132029
%all%,%all%,%all%,%all%,3504723,2455722,0.5284010636284842
