Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,82783,56802,0.2455453248605888
STATEN ISLAND,Staten Island,F,Female,96974,68828,0.281145200622516
QUEENS,Queens,M,Male,406316,262082,0.2373578247761574
QUEENS,Queens,F,Female,471819,313398,0.2692038559727364
MANHATTAN,Manhattan,M,Male,363927,234153,0.3066396152669149
MANHATTAN,Manhattan,F,Female,428781,288884,0.3407412697060209
BROOKLYN,Brooklyn,M,Male,372644,227449,0.187634157568838
BROOKLYN,Brooklyn,F,Female,455323,292685,0.2171722530605643
THE BRONX,Bronx,M,Male,188037,130502,0.195613033020176
THE BRONX,Bronx,F,Female,236897,168375,0.2233454809496552
%all%,%all%,M,Male,1413707,910988,0.2289811175912805
%all%,%all%,F,Female,1689794,1132170,0.2597688110216711
