Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2588450109450071
Latino,Latino,STATEN ISLAND,Staten Island,0.1487510999796927
Black,Black,STATEN ISLAND,Staten Island,0.1425214296904725
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.3399183226840183
White,White,QUEENS,Queens,0.2609711406913791
Latino,Latino,QUEENS,Queens,0.1746444749210719
Black,Black,QUEENS,Queens,0.1485757590222784
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.330790821195063
White,White,MANHATTAN,Manhattan,0.3725424908411538
Latino,Latino,MANHATTAN,Manhattan,0.2156768409883937
Black,Black,MANHATTAN,Manhattan,0.1990594642589178
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3423583204672303
White,White,BROOKLYN,Brooklyn,0.2247510804574255
Latino,Latino,BROOKLYN,Brooklyn,0.1511767101734828
Black,Black,BROOKLYN,Brooklyn,0.1422906921404212
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3000640795211228
White,White,THE BRONX,Bronx,0.2766389104397228
Latino,Latino,THE BRONX,Bronx,0.1447787197776702
Black,Black,THE BRONX,Bronx,0.1512265156705992
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2762217526417137
White,White,%all%,%all%,0.2805912506301324
Latino,Latino,%all%,%all%,0.1659979617014429
Black,Black,%all%,%all%,0.1519343340738112
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3225408992235996
