Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,87856,62781,0.2713915186097783
STATEN ISLAND,Staten Island,F,Female,102063,75029,0.306474737861143
QUEENS,Queens,M,Male,461279,299588,0.2713256004191033
QUEENS,Queens,F,Female,529506,354632,0.3046232006947187
MANHATTAN,Manhattan,M,Male,393740,267527,0.3503451860685618
MANHATTAN,Manhattan,F,Female,459100,323712,0.3818212081633993
BROOKLYN,Brooklyn,M,Male,416483,262574,0.2166105425369207
BROOKLYN,Brooklyn,F,Female,502322,331653,0.2460865068052525
THE BRONX,Bronx,M,Male,205406,145303,0.2177986585411
THE BRONX,Bronx,F,Female,256600,186611,0.2475351064320482
%all%,%all%,M,Male,1564764,1037773,0.2608491235296798
%all%,%all%,F,Female,1849591,1271637,0.2917685785183893
