Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2462256469186545
Latino,Latino,STATEN ISLAND,Staten Island,0.1347390509713667
Black,Black,STATEN ISLAND,Staten Island,0.1321590832792462
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.303319850714188
White,White,QUEENS,Queens,0.2421829053213199
Latino,Latino,QUEENS,Queens,0.1573625444177811
Black,Black,QUEENS,Queens,0.1375952423569671
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3029255158517953
White,White,MANHATTAN,Manhattan,0.3449973195736271
Latino,Latino,MANHATTAN,Manhattan,0.1992326679177063
Black,Black,MANHATTAN,Manhattan,0.1838968879579331
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3038600772977621
White,White,BROOKLYN,Brooklyn,0.2048492034149679
Latino,Latino,BROOKLYN,Brooklyn,0.1376842906142297
Black,Black,BROOKLYN,Brooklyn,0.1315390218057232
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.2692090086429208
White,White,THE BRONX,Bronx,0.2585744817853524
Latino,Latino,THE BRONX,Bronx,0.1340323810293847
Black,Black,THE BRONX,Bronx,0.1402607174919446
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2563535338384008
White,White,%all%,%all%,0.2596026213508249
Latino,Latino,%all%,%all%,0.1519039936622944
Black,Black,%all%,%all%,0.1406097331212675
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.2921649878976234
