Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5488,4687,0.4732909219428456
STATEN ISLAND,Staten Island,75to84,75 to 84,16234,13962,0.6140111702361583
STATEN ISLAND,Staten Island,65to74,65 to 74,34718,29492,0.6320752695085622
STATEN ISLAND,Staten Island,55to64,55 to 64,40457,29764,0.4500831695145925
STATEN ISLAND,Staten Island,45to54,45 to 54,30843,20184,0.3145297014274138
STATEN ISLAND,Staten Island,35to44,35 to 44,23809,14919,0.252120863892926
STATEN ISLAND,Staten Island,25to34,25 to 34,20183,11983,0.1851542823591217
STATEN ISLAND,Staten Island,18to24,18 to 24,10792,4845,0.1221262582506576
STATEN ISLAND,Staten Island,<18,<18,1759,156,0.0015149316616466
STATEN ISLAND,Staten Island,%all%,%all%,184283,129992,0.273010419138788
QUEENS,Queens,85andUp,85+,25647,21235,0.4113301592851031
QUEENS,Queens,75to84,75 to 84,68181,56623,0.515946546758958
QUEENS,Queens,65to74,65 to 74,145571,118811,0.5692213550405189
QUEENS,Queens,55to64,55 to 64,186653,128967,0.4273493896617204
QUEENS,Queens,45to54,45 to 54,161246,98283,0.326038743387164
QUEENS,Queens,35to44,35 to 44,148503,85602,0.2773799100616547
QUEENS,Queens,25to34,25 to 34,142991,78312,0.2160342146154804
QUEENS,Queens,18to24,18 to 24,54276,23518,0.1345992752782215
QUEENS,Queens,<18,<18,7832,812,0.0018077747811162
QUEENS,Queens,%all%,%all%,940900,612163,0.2698738440204416
MANHATTAN,Manhattan,85andUp,85+,23678,20854,0.5236327332025644
MANHATTAN,Manhattan,75to84,75 to 84,62278,55869,0.652385036828429
MANHATTAN,Manhattan,65to74,65 to 74,111929,99062,0.6702122069233116
MANHATTAN,Manhattan,55to64,55 to 64,124462,93076,0.511845483753111
MANHATTAN,Manhattan,45to54,45 to 54,116179,74915,0.3878245934657873
MANHATTAN,Manhattan,35to44,35 to 44,128684,76261,0.3287866801990894
MANHATTAN,Manhattan,25to34,25 to 34,189690,102514,0.2851274843250795
MANHATTAN,Manhattan,18to24,18 to 24,65050,29102,0.2021149665169872
MANHATTAN,Manhattan,<18,<18,6887,1220,0.0053587067941858
MANHATTAN,Manhattan,%all%,%all%,828837,552873,0.3430967349269018
BROOKLYN,Brooklyn,85andUp,85+,20717,16612,0.3258532757944292
BROOKLYN,Brooklyn,75to84,75 to 84,58311,47217,0.4426828925286656
BROOKLYN,Brooklyn,65to74,65 to 74,127120,102095,0.4856047525958058
BROOKLYN,Brooklyn,55to64,55 to 64,146765,100298,0.3510175512275361
BROOKLYN,Brooklyn,45to54,45 to 54,134950,81859,0.2771442887806992
BROOKLYN,Brooklyn,35to44,35 to 44,153668,86523,0.2416938092551106
BROOKLYN,Brooklyn,25to34,25 to 34,183984,95875,0.203971568437647
BROOKLYN,Brooklyn,18to24,18 to 24,50426,21563,0.1037541737629809
BROOKLYN,Brooklyn,<18,<18,5991,745,0.0012955097441432
BROOKLYN,Brooklyn,%all%,%all%,881932,552787,0.2159406039994484
THE BRONX,Bronx,85andUp,85+,11983,10097,0.3795268135391182
THE BRONX,Bronx,75to84,75 to 84,35030,29507,0.50970241979556
THE BRONX,Bronx,65to74,65 to 74,73540,60759,0.5766766482938246
THE BRONX,Bronx,55to64,55 to 64,99750,73372,0.448945228993385
THE BRONX,Bronx,45to54,45 to 54,80897,54806,0.3150928960335979
THE BRONX,Bronx,35to44,35 to 44,62777,40220,0.224454455213723
THE BRONX,Bronx,25to34,25 to 34,50627,31280,0.1378559943247783
THE BRONX,Bronx,18to24,18 to 24,23897,11841,0.0855207828165873
THE BRONX,Bronx,<18,<18,2941,363,0.0010393815324747
THE BRONX,Bronx,%all%,%all%,441442,312245,0.2197329171488807
%all%,%all%,85andUp,85+,87513,73485,0.410672970526104
%all%,%all%,75to84,75 to 84,240034,203178,0.5309419776045606
%all%,%all%,65to74,65 to 74,492878,410219,0.5707037472436508
%all%,%all%,55to64,55 to 64,598087,425477,0.4259351286821706
%all%,%all%,45to54,45 to 54,524115,330047,0.3210302240958207
%all%,%all%,35to44,35 to 44,517441,303525,0.266974578373234
%all%,%all%,25to34,25 to 34,587475,319964,0.2156529053399645
%all%,%all%,18to24,18 to 24,204441,90869,0.1289524084692703
%all%,%all%,<18,<18,25410,3296,0.0019341336245879
%all%,%all%,%all%,%all%,3277394,2160060,0.2590988863015705
