Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2111,2111
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11107,11107
2020-12-18,12/18,16880,16880
2020-12-19,12/19,18565,18565
2020-12-20,12/20,19669,19669
2020-12-21,12/21,25938,25938
2020-12-22,12/22,35653,35653
2020-12-23,12/23,49873,49873
2020-12-24,12/24,57107,57107
2020-12-25,12/25,57286,57286
2020-12-26,12/26,61634,61634
2020-12-27,12/27,65471,65471
2020-12-28,12/28,76415,76415
2020-12-29,12/29,87088,87088
2020-12-30,12/30,99885,99885
2020-12-31,12/31,107119,107119
2021-01-01,1/1,107283,107283
2021-01-02,1/2,111088,111088
2021-01-03,1/3,114629,114629
2021-01-04,1/4,127588,127588
2021-01-05,1/5,143606,143606
2021-01-06,1/6,165052,165052
2021-01-07,1/7,186484,186484
2021-01-08,1/8,208274,208274
2021-01-09,1/9,217360,217360
2021-01-10,1/10,226132,226132
2021-01-11,1/11,259036,259036
2021-01-12,1/12,294658,294658
2021-01-13,1/13,335442,335442
2021-01-14,1/14,376147,376147
2021-01-15,1/15,408452,408452
2021-01-16,1/16,440739,440739
2021-01-17,1/17,465979,465979
2021-01-18,1/18,495040,495040
2021-01-19,1/19,538233,538233
2021-01-20,1/20,582469,582469
2021-01-21,1/21,615526,615526
2021-01-22,1/22,644000,644000
2021-01-23,1/23,662489,662489
2021-01-24,1/24,672828,672828
2021-01-25,1/25,696844,696844
2021-01-26,1/26,723704,723704
2021-01-27,1/27,756163,756163
2021-01-28,1/28,797985,797985
2021-01-29,1/29,840566,840566
2021-01-30,1/30,862490,862490
2021-01-31,1/31,878085,878085
2021-02-01,2/1,884406,884406
2021-02-02,2/2,896346,896346
2021-02-03,2/3,932857,932857
2021-02-04,2/4,978522,978522
2021-02-05,2/5,1024951,1024951
2021-02-06,2/6,1058577,1058577
2021-02-07,2/7,1078566,1078566
2021-02-08,2/8,1118180,1118180
2021-02-09,2/9,1162777,1162777
2021-02-10,2/10,1210255,1210255
2021-02-11,2/11,1270254,1270254
2021-02-12,2/12,1337329,1337329
2021-02-13,2/13,1389181,1389181
2021-02-14,2/14,1428528,1428528
2021-02-15,2/15,1451029,1451029
2021-02-16,2/16,1490982,1490982
2021-02-17,2/17,1528328,1528328
2021-02-18,2/18,1564173,1564173
2021-02-19,2/19,1600411,1600411
2021-02-20,2/20,1636521,1636521
2021-02-21,2/21,1659932,1659932
2021-02-22,2/22,1684024,1684024
2021-02-23,2/23,1722587,1722587
2021-02-24,2/24,1778143,1778143
2021-02-25,2/25,1861259,1861259
2021-02-26,2/26,1953443,1953443
2021-02-27,2/27,2025948,2025948
2021-02-28,2/28,2083298,2083298
2021-03-01,3/1,2133900,2133900
2021-03-02,3/2,2192096,2192096
2021-03-03,3/3,2255324,2255324
2021-03-04,3/4,2336772,2336772
2021-03-05,3/5,2422192,2422192
2021-03-06,3/6,2492107,2492107
2021-03-07,3/7,2548335,2548335
2021-03-08,3/8,2610001,2610001
2021-03-09,3/9,2668055,2668055
2021-03-10,3/10,2738075,2738075
2021-03-11,3/11,2820976,2820976
2021-03-12,3/12,2903817,2903817
2021-03-13,3/13,2973460,2973460
2021-03-14,3/14,3022536,3022536
2021-03-15,3/15,3076199,3076199
2021-03-16,3/16,3137994,3137994
2021-03-17,3/17,3207830,3207830
2021-03-18,3/18,3288758,3288758
2021-03-19,3/19,3368306,3368306
2021-03-20,3/20,3434313,3434313
2021-03-21,3/21,3482379,3482379
2021-03-22,3/22,3543305,3543305
2021-03-23,3/23,3614383,3614383
2021-03-24,3/24,3694627,3694627
2021-03-25,3/25,3789175,3789175
2021-03-26,3/26,3881262,3881262
2021-03-27,3/27,3960183,3960183
2021-03-28,3/28,4019129,4019129
2021-03-29,3/29,4092603,4092603
2021-03-30,3/30,4174925,4174925
2021-03-31,3/31,4272055,4272055
2021-04-01,4/1,4381317,4381317
2021-04-02,4/2,4484224,4484224
2021-04-03,4/3,4564831,4564831
2021-04-04,4/4,4603527,4603527
2021-04-05,4/5,4669422,4669422
2021-04-06,4/6,4747967,4747967
2021-04-07,4/7,4816641,4816641
2021-04-08,4/8,4895355,4895355
2021-04-09,4/9,4946165,4946165
