Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-09,4/9,50810,50810
2021-04-08,4/8,78714,78714
2021-04-07,4/7,68674,68674
2021-04-06,4/6,78545,78545
2021-04-05,4/5,65895,65895
2021-04-04,4/4,38696,38696
2021-04-03,4/3,80607,80607
2021-04-02,4/2,102907,102907
2021-04-01,4/1,109262,109262
2021-03-31,3/31,97130,97130
2021-03-30,3/30,82322,82322
2021-03-29,3/29,73474,73474
2021-03-28,3/28,58946,58946
2021-03-27,3/27,78921,78921
2021-03-26,3/26,92087,92087
2021-03-25,3/25,94548,94548
2021-03-24,3/24,80244,80244
2021-03-23,3/23,71078,71078
2021-03-22,3/22,60926,60926
2021-03-21,3/21,48066,48066
2021-03-20,3/20,66007,66007
2021-03-19,3/19,79548,79548
2021-03-18,3/18,80928,80928
2021-03-17,3/17,69836,69836
2021-03-16,3/16,61795,61795
2021-03-15,3/15,53663,53663
2021-03-14,3/14,49076,49076
2021-03-13,3/13,69643,69643
2021-03-12,3/12,82841,82841
2021-03-11,3/11,82901,82901
2021-03-10,3/10,70020,70020
2021-03-09,3/9,58054,58054
2021-03-08,3/8,61666,61666
2021-03-07,3/7,56228,56228
2021-03-06,3/6,69915,69915
2021-03-05,3/5,85420,85420
2021-03-04,3/4,81448,81448
2021-03-03,3/3,63228,63228
2021-03-02,3/2,58196,58196
2021-03-01,3/1,50602,50602
2021-02-28,2/28,57350,57350
2021-02-27,2/27,72505,72505
2021-02-26,2/26,92184,92184
2021-02-25,2/25,83116,83116
2021-02-24,2/24,55556,55556
2021-02-23,2/23,38563,38563
2021-02-22,2/22,24092,24092
2021-02-21,2/21,23411,23411
2021-02-20,2/20,36110,36110
2021-02-19,2/19,36238,36238
2021-02-18,2/18,35845,35845
2021-02-17,2/17,37346,37346
2021-02-16,2/16,39953,39953
2021-02-15,2/15,22501,22501
2021-02-14,2/14,39347,39347
2021-02-13,2/13,51852,51852
2021-02-12,2/12,67075,67075
2021-02-11,2/11,59999,59999
2021-02-10,2/10,47478,47478
2021-02-09,2/9,44597,44597
2021-02-08,2/8,39614,39614
2021-02-07,2/7,19989,19989
2021-02-06,2/6,33626,33626
2021-02-05,2/5,46429,46429
2021-02-04,2/4,45665,45665
2021-02-03,2/3,36511,36511
2021-02-02,2/2,11940,11940
2021-02-01,2/1,6321,6321
2021-01-31,1/31,15595,15595
2021-01-30,1/30,21924,21924
2021-01-29,1/29,42581,42581
2021-01-28,1/28,41822,41822
2021-01-27,1/27,32459,32459
2021-01-26,1/26,26860,26860
2021-01-25,1/25,24016,24016
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18489,18489
2021-01-22,1/22,28474,28474
2021-01-21,1/21,33057,33057
2021-01-20,1/20,44236,44236
2021-01-19,1/19,43193,43193
2021-01-18,1/18,29061,29061
2021-01-17,1/17,25240,25240
2021-01-16,1/16,32287,32287
2021-01-15,1/15,32305,32305
2021-01-14,1/14,40705,40705
2021-01-13,1/13,40784,40784
2021-01-12,1/12,35622,35622
2021-01-11,1/11,32904,32904
2021-01-10,1/10,8772,8772
2021-01-09,1/9,9086,9086
2021-01-08,1/8,21790,21790
2021-01-07,1/7,21432,21432
2021-01-06,1/6,21446,21446
2021-01-05,1/5,16018,16018
2021-01-04,1/4,12959,12959
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3805,3805
2021-01-01,1/1,164,164
2020-12-31,12/31,7234,7234
2020-12-30,12/30,12797,12797
2020-12-29,12/29,10673,10673
2020-12-28,12/28,10944,10944
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7234,7234
2020-12-23,12/23,14220,14220
2020-12-22,12/22,9715,9715
2020-12-21,12/21,6269,6269
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5773,5773
2020-12-17,12/17,4488,4488
2020-12-16,12/16,4508,4508
2020-12-15,12/15,2034,2034
2020-12-14,12/14,77,77
