Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,242101,0.1085743807675697,0.1085743807675697
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,3516,0.0015768110118454,0.0015768110118454
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,6454,0.0028944079267491,0.0028944079267491
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,302443,0.1356357943275166,0.1356357943275166
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,428355,0.192103208469574,0.192103208469574
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,437159,0.1960515145413278,0.1960515145413278
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,809789,0.3631638829554174,0.3631638829554174
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,54503,0.1111337671049922,0.1111337671049922
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,716,0.0014599522456961,0.0014599522456961
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1192,0.0024305350235611,0.0024305350235611
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,36491,0.0744065885442686,0.0744065885442686
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,50860,0.103705546391206,0.103705546391206
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,60752,0.1238757246236443,0.1238757246236443
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,285913,0.5829878860666318,0.5829878860666318
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,169644,0.1085135453233581,0.1085135453233581
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,2667,0.0017059585094515,0.0017059585094515
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,4507,0.0028829227604417,0.0028829227604417
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,196468,0.1256716372084455,0.1256716372084455
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,311654,0.1993508786293996,0.1993508786293996
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,326813,0.2090474009558997,0.2090474009558997
18 to 64 years,18 to 64 years,White,White,NYC,NYC,551591,0.3528276566130039,0.3528276566130039
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,38060,0.1084148248584996,0.1084148248584996
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,580,0.0016521439416167,0.0016521439416167
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,854,0.0024326395278287,0.0024326395278287
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,28446,0.0810291147641849,0.0810291147641849
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,41779,0.119008485753107,0.119008485753107
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,48450,0.1380109896057358,0.1380109896057358
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,192890,0.5494518015490274,0.5494518015490274
65+ years,65+ years,Other,Other,NYC,NYC,72074,0.1085932626795599,0.1085932626795599
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,844,0.0012716473860414,0.0012716473860414
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,1921,0.0028943538253383,0.0028943538253383
65+ years,65+ years,Black,Black,NYC,NYC,105698,0.1592542481158826,0.1592542481158826
65+ years,65+ years,Latino,Latino,NYC,NYC,116221,0.1751091597785767,0.1751091597785767
65+ years,65+ years,Asian,Asian,NYC,NYC,109831,0.1654814029103248,0.1654814029103248
65+ years,65+ years,White,White,NYC,NYC,257117,0.3873959253042763,0.3873959253042763
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16346,0.1183318010380999,0.1183318010380999
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,135,0.0009772906607209,0.0009772906607209
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,336,0.0024323678666831,0.0024323678666831
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8009,0.0579786733460261,0.0579786733460261
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,8927,0.064624249838928,0.064624249838928
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12165,0.0880647473160703,0.0880647473160703
65+ years,65+ years,White,White,Non- NYC,Non- NYC,92219,0.6675908699334718,0.6675908699334718
