Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5593,4796,0.564778349994951
STATEN ISLAND,Staten Island,75to84,75 to 84,16448,14271,0.7233387572012842
STATEN ISLAND,Staten Island,65to74,65 to 74,35243,30209,0.7553312329882766
STATEN ISLAND,Staten Island,55to64,55 to 64,41555,31815,0.628383487070921
STATEN ISLAND,Staten Island,45to54,45 to 54,31998,22192,0.4986286854079662
STATEN ISLAND,Staten Island,35to44,35 to 44,24916,16376,0.4210633048298239
STATEN ISLAND,Staten Island,25to34,25 to 34,21243,13173,0.3282343670328652
STATEN ISLAND,Staten Island,18to24,18 to 24,11685,5425,0.2945397993104096
STATEN ISLAND,Staten Island,<18,<18,2016,185,0.0195775783966638
STATEN ISLAND,Staten Island,%all%,%all%,190697,138442,0.4005036302119319
QUEENS,Queens,85andUp,85+,26439,22069,0.5121336511108472
QUEENS,Queens,75to84,75 to 84,70087,58841,0.638629984682816
QUEENS,Queens,65to74,65 to 74,149739,123885,0.7173968444202325
QUEENS,Queens,55to64,55 to 64,196696,140301,0.6517784824714986
QUEENS,Queens,45to54,45 to 54,173247,109663,0.574720289120153
QUEENS,Queens,35to44,35 to 44,160980,95648,0.521630545100876
QUEENS,Queens,25to34,25 to 34,155958,87244,0.4302311784017914
QUEENS,Queens,18to24,18 to 24,62674,25899,0.3586986554463498
QUEENS,Queens,<18,<18,10363,973,0.0230713916954528
QUEENS,Queens,%all%,%all%,1006183,664523,0.4435787102422394
MANHATTAN,Manhattan,85andUp,85+,24054,21181,0.6039830135443792
MANHATTAN,Manhattan,75to84,75 to 84,63017,56667,0.7358525813208954
MANHATTAN,Manhattan,65to74,65 to 74,113455,100975,0.767589246496985
MANHATTAN,Manhattan,55to64,55 to 64,128071,100435,0.7042907188721548
MANHATTAN,Manhattan,45to54,45 to 54,120846,84159,0.625603027724308
MANHATTAN,Manhattan,35to44,35 to 44,134848,85830,0.5813748344696084
MANHATTAN,Manhattan,25to34,25 to 34,199170,114889,0.5539618106114882
MANHATTAN,Manhattan,18to24,18 to 24,70007,32286,0.4862024074274868
MANHATTAN,Manhattan,<18,<18,7881,1474,0.0346163674139166
MANHATTAN,Manhattan,%all%,%all%,861349,597896,0.5345278744531782
BROOKLYN,Brooklyn,85andUp,85+,21397,17158,0.4197136131816399
BROOKLYN,Brooklyn,75to84,75 to 84,59744,48680,0.560129756893335
BROOKLYN,Brooklyn,65to74,65 to 74,130383,105711,0.6201538220059646
BROOKLYN,Brooklyn,55to64,55 to 64,153731,109050,0.538019493586715
BROOKLYN,Brooklyn,45to54,45 to 54,142984,91750,0.4840909244801366
BROOKLYN,Brooklyn,35to44,35 to 44,163253,98119,0.456031800126262
BROOKLYN,Brooklyn,25to34,25 to 34,196738,108460,0.4185549771190173
BROOKLYN,Brooklyn,18to24,18 to 24,57202,23858,0.2752375016273261
BROOKLYN,Brooklyn,<18,<18,7624,879,0.0132576728716073
BROOKLYN,Brooklyn,%all%,%all%,933056,603665,0.3644888107088433
THE BRONX,Bronx,85andUp,85+,12285,10419,0.4617695260303126
THE BRONX,Bronx,75to84,75 to 84,35731,30501,0.6172154797748044
THE BRONX,Bronx,65to74,65 to 74,75151,62983,0.7132741947025004
THE BRONX,Bronx,55to64,55 to 64,103693,78840,0.6344719733687384
THE BRONX,Bronx,45to54,45 to 54,85233,59589,0.4900250484916188
THE BRONX,Bronx,35to44,35 to 44,67017,43671,0.3739996077836419
THE BRONX,Bronx,25to34,25 to 34,54372,33852,0.2396261548410117
THE BRONX,Bronx,18to24,18 to 24,26695,12913,0.1928027444716493
THE BRONX,Bronx,<18,<18,3791,435,0.0108548082358449
THE BRONX,Bronx,%all%,%all%,463968,333203,0.3265033614749055
%all%,%all%,85andUp,85+,89768,75623,0.5016709698331266
%all%,%all%,75to84,75 to 84,245027,208960,0.6403012134508296
%all%,%all%,65to74,65 to 74,503971,423763,0.7011331464464834
%all%,%all%,55to64,55 to 64,623746,460441,0.624417613114197
%all%,%all%,45to54,45 to 54,554308,367353,0.5391644870521658
%all%,%all%,35to44,35 to 44,551014,339644,0.484661000997444
%all%,%all%,25to34,25 to 34,627481,357618,0.4229166427961467
%all%,%all%,18to24,18 to 24,228263,100381,0.3239285522501738
%all%,%all%,<18,<18,31675,3946,0.0185872823297398
%all%,%all%,%all%,%all%,3455253,2337729,0.4144571003537681
